#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Comment|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=Ipak, nastavio je da radi na esperantu sve dok nije umro od srčanog udara 1921. godine.
1-1	0-4	Ipak	PAR	PART	_	_	ipak	_	_	_	_	_	_	_	_	_	_
1-2	4-5	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	_	_
1-3	6-14	nastavio	V	VERB	_	_	nastaviti	_	_	_	*	_	_	_	_	_	_
1-4	15-17	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	_
1-5	18-20	da	CONJ	SCONJ	_	_	da	_	_	_	_	_	_	_	_	_	_
1-6	21-25	radi	V	VERB	_	_	raditi	_	_	_	*	_	_	_	_	_	_
1-7	26-28	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	_	_
1-8	29-38	esperantu	N	NOUN	_	_	esperanto	_	_	_	*	_	_	_	_	_	_
1-9	39-42	sve	ADV	ADV	_	_	sve	1[205]	sve dok[205]	ConjID[205]	*[444]	_	_	_	_	_	_
1-10	43-46	dok	CONJ	SCONJ	_	_	dok	1[205]	sve dok[205]	ConjID[205]	*[444]	_	_	_	_	_	_
1-11	47-51	nije	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	_
1-12	52-56	umro	V	VERB	_	_	umreti	_	_	_	*	_	_	_	_	_	_
1-13	57-59	od	PREP	ADP	_	_	od	_	_	_	_	_	_	_	_	_	_
1-14	60-67	srčanog	A	ADJ	_	_	srčani	2[206]	srčani udar[206]	NID[206]	*[445]	_	_	_	_	_	_
1-15	68-73	udara	N	NOUN	_	_	udar	2[206]	srčani udar[206]	NID[206]	*[445]	_	_	_	_	_	_
1-16	74-79	1921.	A	ADJ	_	_	1921.	_	_	_	_	_	_	_	_	_	_
1-17	80-86	godine	N	NOUN	_	_	godina	_	_	_	*	_	_	_	_	_	_
1-18	86-87	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	_

#Text=Crvena armija je upala na teritoriju Poljske sa istoka.
2-1	87-93	Crvena	A	ADJ	http://www.wikidata.org/entity/Q251395[1]	ORG[1]	crven	_	_	_	*	_	_	_	_	_	_
2-2	94-100	armija	N	NOUN	http://www.wikidata.org/entity/Q251395[1]	ORG[1]	armija	_	_	_	*	_	_	_	_	_	_
2-3	101-103	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	_
