#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Ainotes


#Text=U petoj sezoni program je održan u skladu sa novim konceptom: jedan mladi fudbaler iz svake zemlje izabran je kao njen predstavnik.
1-1	0-1	U	PREP	ADP	_	_	u	_	_	_	_	_	_	_	
1-2	2-7	petoj	A	ADJ	_	_	peti	_	_	_	ENG30-02202712-a	1	ENG30-02202712-a	Rečenica govori o petoj sezoni, što znači da se radi o rednom broju koji dolazi posle četvrtog i pre šestog, što odgovara definiciji.	
1-3	8-14	sezoni	N	NOUN	_	_	sezona	_	_	_	ENG30-15239579-n	1	ENG30-15239579-n	U kontekstu rečenice, 'sezona' se odnosi na period u kojem se program održava, što odgovara značenju perioda godine koji označavaju posebni događaji ili aktivnosti u nekom polju.	
1-4	15-22	program	N	NOUN	_	_	program	_	_	_	ENG30-06619428-n	4	ENG30-03962685-n;ENG30-06568978-n;ENG30-06619428-n;ENG30-06676416-n	U kontekstu rečenice, 'program' se odnosi na događaj ili seriju događaja koji se odvijaju u određenom formatu, što odgovara značenju televizijske ili radio emisije, ali se ovde odnosi na događaj.	
1-5	23-25	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
1-6	26-32	održan	V	VERB	_	_	održati	_	_	_	ENG30-02679899-v	4	ENG30-00118523-v;ENG30-02202928-v;ENG30-02280132-v;ENG30-02679899-v	U kontekstu rečenice, 'održan' znači da je program sproveden ili izveden u skladu sa novim konceptom, što odgovara značenju 'čuvati ili držati u neizmenjenom stanju, činiti da ostane ili traje'.	
1-7	33-34	u	PREP	ADP	_	_	u	1[729]	u skladu sa[729]	AdpID[729]	LLM-0289[2000]	1[2000]	LLM-0289[2000]	U navedenom kontekstu, fraza 'u skladu sa' znači da je program održan na način koji je usklađen ili saglasan sa novim konceptom, što je isto značenje kao 'u skladu s'.[2000]	
1-8	35-41	skladu	N	NOUN	_	_	sklad	1[729]	u skladu sa[729]	AdpID[729]	LLM-0289[2000]	1[2000]	LLM-0289[2000]	U navedenom kontekstu, fraza 'u skladu sa' znači da je program održan na način koji je usklađen ili saglasan sa novim konceptom, što je isto značenje kao 'u skladu s'.[2000]	
1-9	42-44	sa	PREP	ADP	_	_	sa	1[729]	u skladu sa[729]	AdpID[729]	LLM-0289[2000]	1[2000]	LLM-0289[2000]	U navedenom kontekstu, fraza 'u skladu sa' znači da je program održan na način koji je usklađen ili saglasan sa novim konceptom, što je isto značenje kao 'u skladu s'.[2000]	
1-10	45-50	novim	A	ADJ	_	_	nov	_	_	_	ENG30-01640850-a	6	ENG30-00418198-a;ENG30-00820975-a;ENG30-00821208-a;ENG30-01640850-a;ENG30-01687167-a;ENG30-02070491-a	U kontekstu rečenice, 'novi koncept' označava koncept koji je upravo postao, nastao ili prihvaćen, što odgovara značenju 'Nešto što ne traje dugo; nešto što je upravo postalo, nastalo, otkriveno ili prihvaćeno'.	
