#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=U petoj sezoni program je održan u skladu sa novim konceptom: jedan mladi fudbaler iz svake zemlje izabran je kao njen predstavnik.
1-1	0-1	U	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
1-2	2-7	petoj	A	ADJ	_	_	peti	_	_	_	Reč 'peti' se koristi da označi redni broj sezone, što znači da dolazi posle četvrte i pre šeste sezone.	http://llod.jerteh.rs/WSD/ENG3002202712a	1	Gemini_gemini-2.0-flash-lite	ENG30-02202712-a	
1-3	8-14	sezoni	N	NOUN	_	_	sezona	_	_	_	U ovom kontekstu, 'sezona' se odnosi na period emitovanja televizijskog programa, što se uklapa u značenje koje se odnosi na period aktivnosti u nekom polju.	http://llod.jerteh.rs/WSD/ENG3015239579n	1	Gemini_gemini-2.0-flash-lite	ENG30-15239579-n	
1-4	15-22	program	N	NOUN	_	_	program	_	_	_	U ovom kontekstu, 'program' se odnosi na seriju događaja ili emisiju, što je u skladu sa značenjem emisije na radiju ili televiziji.	http://llod.jerteh.rs/WSD/ENG3006619428n	4	Gemini_gemini-2.0-flash-lite	ENG30-03962685-n;ENG30-06568978-n;ENG30-06619428-n;ENG30-06676416-n	
1-5	23-25	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
1-6	26-32	održan	V	VERB	_	_	održati	_	_	_	U ovom kontekstu, 'održan' znači da je program nastavio da postoji i da se odvijao, ostajući u skladu sa novim konceptom. Značenje 4 najbolje odgovara jer se fokusira na održavanje nečega u nepromenjenom stanju ili trajanju.	http://llod.jerteh.rs/WSD/ENG3002679899v	4	Gemini_gemini-2.0-flash-lite	ENG30-00118523-v;ENG30-02202928-v;ENG30-02280132-v;ENG30-02679899-v	
1-7	33-34	u	PREP	ADP	_	_	u	1[729]	u skladu sa[729]	AdpID[729]	Izraz 'u skladu sa' u ovom kontekstu znači 'prema' ili 'u skladu sa' novim konceptom, što se odnosi na način na koji je program organizovan.[2000]	http://llod.jerteh.rs/WSD/LLM0288[2000]	1[2000]	Gemini_gemini-2.0-flash-lite	LLM-0288[2000]	
1-8	35-41	skladu	N	NOUN	_	_	sklad	1[729]	u skladu sa[729]	AdpID[729]	Izraz 'u skladu sa' u ovom kontekstu znači 'prema' ili 'u skladu sa' novim konceptom, što se odnosi na način na koji je program organizovan.[2000]	http://llod.jerteh.rs/WSD/LLM0288[2000]	1[2000]	Gemini_gemini-2.0-flash-lite	LLM-0288[2000]	
1-9	42-44	sa	PREP	ADP	_	_	sa	1[729]	u skladu sa[729]	AdpID[729]	Izraz 'u skladu sa' u ovom kontekstu znači 'prema' ili 'u skladu sa' novim konceptom, što se odnosi na način na koji je program organizovan.[2000]	http://llod.jerteh.rs/WSD/LLM0288[2000]	1[2000]	Gemini_gemini-2.0-flash-lite	LLM-0288[2000]	
1-10	45-50	novim	A	ADJ	_	_	nov	_	_	_	U ovom kontekstu, 'novi' se odnosi na drugačiji koncept u poređenju sa prethodnim sezonama programa.	http://llod.jerteh.rs/WSD/ENG3002070491a	6	Gemini_gemini-2.0-flash-lite	ENG30-00418198-a;ENG30-00820975-a;ENG30-00821208-a;ENG30-01640850-a;ENG30-01687167-a;ENG30-02070491-a	
1-11	51-60	konceptom	N	NOUN	_	_	koncept	_	_	_	U ovom kontekstu, 'koncept' se odnosi na plan ili ideju za novu sezonu programa, što odgovara značenju preliminarne skice.	http://llod.jerteh.rs/WSD/ENG3003179318n	3	Gemini_gemini-2.0-flash-lite	ENG30-03179318-n;ENG30-05835747-n;ENG30-06390962-n	
1-12	60-61	:	PUNCT	PUNCT	_	_	:	_	_	_	_	_	_	_	_	
1-13	62-67	jedan	NUM	NUM	_	_	jedan	_	_	_	_	_	_	_	_	
