#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Comment|Ainotes


#Text=U petoj sezoni program je održan u skladu sa novim konceptom: jedan mladi fudbaler iz svake zemlje izabran je kao njen predstavnik.
1-1	0-1	U	PREP	ADP	_	_	u	_	_	_	_	0	_	_	_	
1-2	2-7	petoj	A	ADJ	_	_	peti	_	_	_	ENG30-02202712-a	1	ENG30-02202712-a	*	U ovom kontekstu, 'peti' se odnosi na redni broj sezone, što odgovara značenju 'dolazi odmah posle četvrtog i neposredno pre šestog u položaju'.	
1-3	8-14	sezoni	N	NOUN	_	_	sezona	_	_	_	ENG30-15239579-n	1	ENG30-15239579-n	*	U kontekstu rečenice, 'sezona' se odnosi na period godine tokom koga se odvija određena serija događaja ili aktivnosti, u ovom slučaju emitovanje programa.	
1-4	15-22	program	N	NOUN	_	_	program	_	_	_	ENG30-00551215-n	7	ENG30-00551215-n;ENG30-03962685-n;ENG30-05898568-n;ENG30-05899087-n;ENG30-06568978-n;ENG30-06619428-n;ENG30-06676416-n	CV	Reč 'program' se ovde odnosi na niz javnih nastupa, specifično na seriju događaja u sportskom kontekstu (fudbal).	
1-5	23-25	je	V	AUX	_	_	jesam	_	_	_	_	0	_	_	_	
1-6	26-32	održan	V	VERB	_	_	održati	_	_	_	ENG30-02408965-v	7	ENG30-00118523-v;ENG30-00339934-v;ENG30-01733477-v;ENG30-02202928-v;ENG30-02280132-v;ENG30-02408965-v;ENG30-02679899-v	CV	Reč 'održan' u ovom kontekstu znači da je program realizovan u skladu sa novim konceptom, što odgovara značenju 'primeniti na način koji je u skladu sa svrhom ili sa zamisli'.	
1-7	33-34	u	PREP	ADP	_	_	u	1[187]	u skladu sa[187]	AdpID[187]	LLM-0288[2000]	1[2000]	LLM-0288[2000]	*[451]	U kontekstu rečenice, 'u skladu sa' se odnosi na harmoniju ili saglasnost sa novim konceptom, što odgovara značenju 'U harmoniji sa; prema nečemu; saglasno nečemu'.[2000]	
1-8	35-41	skladu	N	NOUN	_	_	sklad	1[187]	u skladu sa[187]	AdpID[187]	LLM-0288[2000]	1[2000]	LLM-0288[2000]	*[451]	U kontekstu rečenice, 'u skladu sa' se odnosi na harmoniju ili saglasnost sa novim konceptom, što odgovara značenju 'U harmoniji sa; prema nečemu; saglasno nečemu'.[2000]	
1-9	42-44	sa	PREP	ADP	_	_	sa	1[187]	u skladu sa[187]	AdpID[187]	LLM-0288[2000]	1[2000]	LLM-0288[2000]	*[451]	U kontekstu rečenice, 'u skladu sa' se odnosi na harmoniju ili saglasnost sa novim konceptom, što odgovara značenju 'U harmoniji sa; prema nečemu; saglasno nečemu'.[2000]	
1-10	45-50	novim	A	ADJ	_	_	nov	_	_	_	ENG30-01687167-a	6	ENG30-00418198-a;ENG30-00820975-a;ENG30-00821208-a;ENG30-01640850-a;ENG30-01687167-a;ENG30-02070491-a	*	Značenje 'nov' u kontekstu se odnosi na koncepte koji su tek stvoreni i kakvog do sada nije bilo, što se odnosi na novu ideju ili pristup.	
1-11	51-60	konceptom	N	NOUN	_	_	koncept	_	_	_	CV004	4	CV004;ENG30-03179318-n;ENG30-05835747-n;ENG30-06390962-n	CV	U kontekstu rečenice, 'koncept' se odnosi na osnovnu zamisao ili plan programa, koji je u petoj sezoni promenjen i sada uključuje jednog mladih fudbalera iz svake zemlje kao predstavnika.	
1-12	60-61	:	PUNCT	PUNCT	_	_	:	_	_	_	_	0	_	_	_	
1-13	62-67	jedan	NUM	NUM	_	_	jedan	_	_	_	_	0	_	_	_	
1-14	68-73	mladi	A	ADJ	_	_	mlad	_	_	_	ENG30-01674464-a	2	ENG30-00818008-a;ENG30-01674464-a	*	U kontekstu rečenice, 'mladi' se odnosi na fudbalere koji su u ranom stadijumu života, što odgovara značenju ljudi koji su u ranom stadijumu života ili razvoja i rasta.	
1-15	74-82	fudbaler	N	NOUN	http://www.wikidata.org/entity/Q937857	ROLE	fudbaler	_	_	_	ENG30-10618342-n	2	ENG30-10101634-n;ENG30-10618342-n	*	Kontekst se odnosi na sport fudbal, a ne na američki fudbal, što je jasno iz reči 'fudbaler' i konteksta izabranog predstavnika iz svake zemlje.	
1-16	83-85	iz	PREP	ADP	_	_	iz	_	_	_	_	0	_	_	_	
1-17	86-91	svake	PRO	DET	_	_	svaki	_	_	_	_	0	_	_	_	
1-18	92-98	zemlje	N	NOUN	_	_	zemlja	_	_	_	ENG30-08493064-n	11	ENG30-08168978-n;ENG30-08493064-n;ENG30-08544813-n;ENG30-09270894-n;ENG30-09334396-n;ENG30-09335240-n;ENG30-09451517-n;ENG30-13250048-n;ENG30-14842992-n;ENG30-14844414-n;ENG30-14844693-n	*	U kontekstu rečenice, 'zemlja' se odnosi na geografsko područje pod jurisdikcijom suverene države, jer se govori o izboru predstavnika iz svake zemlje, što podrazumeva političke granice i države.	
1-19	99-106	izabran	V	VERB	_	_	izabrati	_	_	_	ENG30-00676450-v	5	ENG30-00676450-v;ENG30-00676864-v;ENG30-00679937-v;ENG30-00790308-v;ENG30-01078050-v	*	U kontekstu rečenice, reč 'izabran' se odnosi na pažljivo odabiranje jednog mladog fudbalera iz svake zemlje, što odgovara značenju 'Odabrati pažljivo iz grupe.'	
1-20	107-109	je	V	AUX	_	_	jesam	_	_	_	_	0	_	_	_	
1-21	110-113	kao	CONJ	CCONJ	_	_	kao	_	_	_	_	0	_	_	_	
1-22	114-118	njen	PRO	DET	_	_	njen	_	_	_	_	0	_	_	_	
1-23	119-130	predstavnik	N	NOUN	_	_	predstavnik	_	_	_	ENG30-10005721-n	3	ENG30-05820620-n;ENG30-10005721-n;ENG30-10522035-n	*	U kontekstu rečenice, 'predstavnik' se odnosi na mladog fudbalera koji je izabran da zastupa svoju zemlju, što odgovara značenju lica imenovanog da zastupa ili deluje u ime drugih.	
1-24	130-131	.	SENT	PUNCT	_	_	.	_	_	_	_	0	_	_	_	

#Text=Krup pogađa oko 15 % dece i obično se javlja između 6 meseci i 5–6 godina.
2-1	131-135	Krup	N	NOUN	_	_	krup	_	_	_	ENG30-14174011-n	2	ENG30-14174011-n;ENG30-14349311-n	*	Kontekst rečenice govori o bolesti koja pogađa decu i opisuje simptome kao što su kašalj, promuklost, groznica i otežano disanje, što odgovara prvom značenju.	
2-2	136-142	pogađa	V	VERB	_	_	pogađati	_	_	_	ENG30-00019448-v	2	DRJ0-212537/0;ENG30-00019448-v	CV	U ovom kontekstu, 'pogađa' se koristi da označi da krup utice na oko 15% dece, tj. da se javlja kod te dece.	
2-3	143-146	oko	ADV	ADV	_	_	oko	_	_	_	ENG30-00007015-b	1	ENG30-00007015-b	*	U ovom kontekstu, 'oko' se koristi da označava približnu količinu ili broj, što odgovara značenju 'neprecizna, ali prilično blizu tačne'.	
2-4	147-149	15	NUM	NUM	_	_	15	_	_	_	_	0	_	_	_	
2-5	150-151	%	PUNCT	SYM	_	_	%	_	_	_	_	0	_	_	_	
2-6	152-156	dece	N	NOUN	_	_	deca	_	_	_	ENG30-09917593-n	3	DRS0-457358/0.0;DRS0-457359/0.0;ENG30-09917593-n	CV	Kontekst se odnosi na decu u određenom uzrastu (6 meseci do 5–6 godina), što odgovara definiciji mlade osobe između rođenja i puberteta.	
2-7	157-158	i	CONJ	CCONJ	_	_	i	_	_	_	_	0	_	_	_	
2-8	159-165	obično	ADV	ADV	_	_	obično	_	_	_	ENG30-00155621-b	3	ENG30-00041954-b;ENG30-00106921-b;ENG30-00155621-b	*	Značenje 'obično' u ovom kontekstu se odnosi na 'uobičajeno' ili 'po pravilu', što ukazuje na tipičan ili najčešći slučaj pojave krupa kod dece.	
2-9	166-168	se	PAR	PART	_	_	se	1	*	IRV	CVMWE-0161[2001]	1[2001]	CVMWE-0161[2001]	*[452]	U kontekstu rečenice, 'javljati se' se odnosi na pojavu ili nastanak krup-a kod dece, što odgovara prvom značenju iz liste.[2001]	
2-10	169-175	javlja	V	VERB	_	_	javljati	1	javljati se	IRV	CVMWE-0161[2001]	1[2001]	CVMWE-0161[2001]	*[452]	U kontekstu rečenice, 'javljati se' se odnosi na pojavu ili nastanak krup-a kod dece, što odgovara prvom značenju iz liste.[2001]	
2-11	176-182	između	PREP	ADP	_	_	između	_	_	_	_	0	_	_	_	
2-12	183-184	6	NUM	NUM	_	_	6	_	_	_	_	0	_	_	_	
2-13	185-191	meseci	N	NOUN	_	_	mesec	_	_	_	ENG30-15206296-n	7	CVMWE-0348;ENG30-09358226-n;ENG30-09358550-n;ENG30-11484975-n;ENG30-15206296-n;ENG30-15207872-n;ENG30-15209413-n	*	U kontekstu rečenice, 'mesec' se odnosi na vremensku jedinicu od 30 dana, što je u skladu sa kontekstom o dobi dece.	
2-14	192-193	i	CONJ	CCONJ	_	_	i	_	_	_	_	0	_	_	_	
2-15	194-195	5	NUM	NUM	_	_	5	_	_	_	_	0	_	_	_	
2-16	195-196	–	PUNCT	PUNCT	_	_	–	_	_	_	_	0	_	_	_	
2-17	196-197	6	NUM	NUM	_	_	6	_	_	_	_	0	_	_	_	
