#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Comment|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=U petoj sezoni program je održan u skladu sa novim konceptom: jedan mladi fudbaler iz svake zemlje izabran je kao njen predstavnik.
1-1	0-1	U	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	_	
1-2	2-7	petoj	A	ADJ	_	_	peti	_	_	_	*	U ovom kontekstu, 'petoj' se odnosi na redni broj sezone, tj. na sezonu koja dolazi odmah posle četvrte i pre šeste, što odgovara navedenom značenju.	http://llod.jerteh.rs/WSD/seENG3002202712a	1	gpt-4.1	ENG30-02202712-a	
1-3	8-14	sezoni	N	NOUN	_	_	sezona	_	_	_	*	U ovom kontekstu, 'sezona' označava određeni vremenski period u okviru serije ili takmičenja tokom kojeg se program realizuje, što odgovara ponuđenom značenju kao period sa posebnim događajima ili aktivnostima.	http://llod.jerteh.rs/WSD/seENG3015239579n	1	gpt-4.1	ENG30-15239579-n	
1-4	15-22	program	N	NOUN	_	_	program	_	_	_	CV	Ovde se 'program' odnosi na javni nastup ili niz javnih nastupa, jer opisuje događaj (ili seriju događaja) u kojem učestvuju mladi fudbaleri kao predstavnici svojih zemalja.	http://llod.jerteh.rs/WSD/seENG3000551215n	7	gpt-4.1	ENG30-00551215-n;ENG30-03962685-n;ENG30-05898568-n;ENG30-05899087-n;ENG30-06568978-n;ENG30-06619428-n;ENG30-06676416-n	
1-5	23-25	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
1-6	26-32	održan	V	VERB	_	_	održati	_	_	_	CV	U ovom kontekstu, 'održati' znači organizovati i sprovesti program, što se uklapa u značenje 'organizovati ili biti odgovoran za nešto'.	http://llod.jerteh.rs/WSD/seENG3001733477v	7	gpt-4.1	ENG30-00118523-v;ENG30-00339934-v;ENG30-01733477-v;ENG30-02202928-v;ENG30-02280132-v;ENG30-02408965-v;ENG30-02679899-v	
1-7	33-34	u	PREP	ADP	_	_	u	1[187]	u skladu sa[187]	AdpID[187]	*[451]	U ovom kontekstu, 'u skladu sa' znači da je program organizovan prema novom konceptu, što odgovara značenju 'u harmoniji sa; prema nečemu; saglasno nečemu'.[2000]	http://llod.jerteh.rs/WSD/seLLM0288[2000]	1[2000]	gpt-4.1	LLM-0288[2000]	
1-8	35-41	skladu	N	NOUN	_	_	sklad	1[187]	u skladu sa[187]	AdpID[187]	*[451]	U ovom kontekstu, 'u skladu sa' znači da je program organizovan prema novom konceptu, što odgovara značenju 'u harmoniji sa; prema nečemu; saglasno nečemu'.[2000]	http://llod.jerteh.rs/WSD/seLLM0288[2000]	1[2000]	gpt-4.1	LLM-0288[2000]	
1-9	42-44	sa	PREP	ADP	_	_	sa	1[187]	u skladu sa[187]	AdpID[187]	*[451]	U ovom kontekstu, 'u skladu sa' znači da je program organizovan prema novom konceptu, što odgovara značenju 'u harmoniji sa; prema nečemu; saglasno nečemu'.[2000]	http://llod.jerteh.rs/WSD/seLLM0288[2000]	1[2000]	gpt-4.1	LLM-0288[2000]	
1-10	45-50	novim	A	ADJ	_	_	nov	_	_	_	*	U ovom kontekstu, 'novi koncept' označava koncept koji je tek stvoren i kakvog do sada nije bilo, što najpreciznije odgovara ovom značenju.	http://llod.jerteh.rs/WSD/seENG3001687167a	6	gpt-4.1	ENG30-00418198-a;ENG30-00820975-a;ENG30-00821208-a;ENG30-01640850-a;ENG30-01687167-a;ENG30-02070491-a	
1-11	51-60	konceptom	N	NOUN	_	_	koncept	_	_	_	CV	U ovom kontekstu, 'koncept' se odnosi na osnovnu zamisao ili plan po kojem je program organizovan, što najpreciznije odgovara značenju CV004.	http://llod.jerteh.rs/WSD/seCV004	4	gpt-4.1	CV004;ENG30-03179318-n;ENG30-05835747-n;ENG30-06390962-n	
1-12	60-61	:	PUNCT	PUNCT	_	_	:	_	_	_	_	_	_	_	_	_	
1-13	62-67	jedan	NUM	NUM	_	_	jedan	_	_	_	_	_	_	_	_	_	
1-14	68-73	mladi	A	ADJ	_	_	mlad	_	_	_	*	U ovom kontekstu 'mladi' se odnosi na fudbalera koji je u ranom stadijumu života ili karijere, što odgovara značenju koje se koristi za ljude ili živa bića u ranoj fazi razvoja.	http://llod.jerteh.rs/WSD/seENG3001674464a	2	gpt-4.1	ENG30-00818008-a;ENG30-01674464-a	
1-15	74-82	fudbaler	N	NOUN	http://www.wikidata.org/entity/Q937857	ROLE	fudbaler	_	_	_	*	Kontekst govori o mladima koji predstavljaju svoje zemlje, a u Evropi i većini sveta reč 'fudbaler' se odnosi na sportistu koji igra fudbal (soccer), a ne američki fudbal.	http://llod.jerteh.rs/WSD/seENG3010618342n	2	gpt-4.1	ENG30-10101634-n;ENG30-10618342-n	
1-16	83-85	iz	PREP	ADP	_	_	iz	_	_	_	_	_	_	_	_	_	
1-17	86-91	svake	PRO	DET	_	_	svaki	_	_	_	_	_	_	_	_	_	
1-18	92-98	zemlje	N	NOUN	_	_	zemlja	_	_	_	*	U kontekstu rečenice, 'zemlja' se odnosi na političku organizaciju ljudi pod jednom vladom, odnosno državu čiji fudbaler predstavlja tu zemlju.	http://llod.jerteh.rs/WSD/seENG3008168978n	11	gpt-4.1	ENG30-08168978-n;ENG30-08493064-n;ENG30-08544813-n;ENG30-09270894-n;ENG30-09334396-n;ENG30-09335240-n;ENG30-09451517-n;ENG30-13250048-n;ENG30-14842992-n;ENG30-14844414-n;ENG30-14844693-n	
