#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Comment|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=U petoj sezoni program je održan u skladu sa novim konceptom: jedan mladi fudbaler iz svake zemlje izabran je kao njen predstavnik.
1-1	0-1	U	PREP	ADP	_	_	u	_	_	_	_	_	_	0	_	_	
1-2	2-7	petoj	A	ADJ	_	_	peti	_	_	_	*	redni broj	http://llod.jerteh.rs/WSD/seENG3002202712a	1	Llama4_simple	ENG30-02202712-a	
1-3	8-14	sezoni	N	NOUN	_	_	sezona	_	_	_	*	sezona kao period godine	http://llod.jerteh.rs/WSD/seENG3015239579n	1	Llama4_simple	ENG30-15239579-n	
1-4	15-22	program	N	NOUN	_	_	program	_	_	_	CV	program kao obrazovni plan ili akademski program	http://llod.jerteh.rs/WSD/seENG3006676416n	4	Llama4_simple	ENG30-03962685-n;ENG30-06568978-n;ENG30-06619428-n;ENG30-06676416-n	
1-5	23-25	je	V	AUX	_	_	jesam	_	_	_	_	_	_	0	_	_	
1-6	26-32	održan	V	VERB	_	_	održati	_	_	_	CV	održati znači čuvati na sigurnom i zaštititi od štete, propadanja, gubitka ili uništenja što odgovara kontekstu rečenice	http://llod.jerteh.rs/WSD/seENG3002280132v	4	Llama4_simple	ENG30-00118523-v;ENG30-02202928-v;ENG30-02280132-v;ENG30-02679899-v	
1-7	33-34	u	PREP	ADP	_	_	u	1[187]	u skladu sa[187]	AdpID[187]	*[451]	Varijanta izraza 'u skladu s'; u harmoniji sa; prema nečemu.[2000]	http://llod.jerteh.rs/WSD/seLLM0288[2000]	1[2000]	Llama4_simple	LLM-0288[2000]	
1-8	35-41	skladu	N	NOUN	_	_	sklad	1[187]	u skladu sa[187]	AdpID[187]	*[451]	Varijanta izraza 'u skladu s'; u harmoniji sa; prema nečemu.[2000]	http://llod.jerteh.rs/WSD/seLLM0288[2000]	1[2000]	Llama4_simple	LLM-0288[2000]	
1-9	42-44	sa	PREP	ADP	_	_	sa	1[187]	u skladu sa[187]	AdpID[187]	*[451]	Varijanta izraza 'u skladu s'; u harmoniji sa; prema nečemu.[2000]	http://llod.jerteh.rs/WSD/seLLM0288[2000]	1[2000]	Llama4_simple	LLM-0288[2000]	
1-10	45-50	novim	A	ADJ	_	_	nov	_	_	_	*	koji je drugačiji od prethodnog	http://llod.jerteh.rs/WSD/seENG3002070491a	6	Llama4_simple	ENG30-00418198-a;ENG30-00820975-a;ENG30-00821208-a;ENG30-01640850-a;ENG30-01687167-a;ENG30-02070491-a	
1-11	51-60	konceptom	N	NOUN	_	_	koncept	_	_	_	CV	koncept kao ideja ili pojam	http://llod.jerteh.rs/WSD/seENG3005835747n	3	Llama4_simple	ENG30-03179318-n;ENG30-05835747-n;ENG30-06390962-n	
1-12	60-61	:	PUNCT	PUNCT	_	_	:	_	_	_	_	_	_	0	_	_	
1-13	62-67	jedan	NUM	NUM	_	_	jedan	_	_	_	_	_	_	0	_	_	
1-14	68-73	mladi	A	ADJ	_	_	mlad	_	_	_	*	mlad	http://llod.jerteh.rs/WSD/seENG3001674464a	2	Llama4_simple	ENG30-00818008-a;ENG30-01674464-a	
1-15	74-82	fudbaler	N	NOUN	http://www.wikidata.org/entity/Q937857	ROLE	fudbaler	_	_	_	*	sportista koji igra fudbal	http://llod.jerteh.rs/WSD/seENG3010618342n	2	Llama4_simple	ENG30-10101634-n;ENG30-10618342-n	
1-16	83-85	iz	PREP	ADP	_	_	iz	_	_	_	_	_	_	0	_	_	
1-17	86-91	svake	PRO	DET	_	_	svaki	_	_	_	_	_	_	0	_	_	
1-18	92-98	zemlje	N	NOUN	_	_	zemlja	_	_	_	*	Zemlja kao država ili jurisdikcija	http://llod.jerteh.rs/WSD/seENG3008493064n	10	Llama4_simple	ENG30-08493064-n;ENG30-08544813-n;ENG30-09270894-n;ENG30-09334396-n;ENG30-09335240-n;ENG30-09451517-n;ENG30-13250048-n;ENG30-14842992-n;ENG30-14844414-n;ENG30-14844693-n	
1-19	99-106	izabran	V	VERB	_	_	izabrati	_	_	_	*	Izabrati pažljivo iz grupe	http://llod.jerteh.rs/WSD/seENG3000676450v	5	Llama4_simple	ENG30-00676450-v;ENG30-00676864-v;ENG30-00679937-v;ENG30-00790308-v;ENG30-01078050-v	
1-20	107-109	je	V	AUX	_	_	jesam	_	_	_	_	_	_	0	_	_	
1-21	110-113	kao	CONJ	CCONJ	_	_	kao	_	_	_	_	_	_	0	_	_	
1-22	114-118	njen	PRO	DET	_	_	njen	_	_	_	_	_	_	0	_	_	
1-23	119-130	predstavnik	N	NOUN	_	_	predstavnik	_	_	_	*	predstavnik kao lice imenovano da zastupa ili deluje u ime drugih	http://llod.jerteh.rs/WSD/seENG3010005721n	3	Llama4_simple	ENG30-05820620-n;ENG30-10005721-n;ENG30-10522035-n	
1-24	130-131	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	0	_	_	

#Text=Krup pogađa oko 15 % dece i obično se javlja između 6 meseci i 5–6 godina.
2-1	131-135	Krup	N	NOUN	_	_	krup	_	_	_	*	Bolest koja zahvata grkljan, dušnik i bronhijalnye prolaze	http://llod.jerteh.rs/WSD/seENG3014349311n	2	Llama4_simple	ENG30-14174011-n;ENG30-14349311-n	
2-2	136-142	pogađa	V	VERB	_	_	pogađati	_	_	_	CV	nesvr. prema pogoditi (se)	http://llod.jerteh.rs/WSD/seDRJ0212537_0	1	Llama4_simple	DRJ0-212537/0	
2-3	143-146	oko	ADV	ADV	_	_	oko	_	_	_	*	neprecizna količina	http://llod.jerteh.rs/WSD/seENG3000007015b	1	Llama4_simple	ENG30-00007015-b	
2-4	147-149	15	NUM	NUM	_	_	15	_	_	_	_	_	_	0	_	_	
2-5	150-151	%	PUNCT	SYM	_	_	%	_	_	_	_	_	_	0	_	_	
2-6	152-156	dece	N	NOUN	_	_	deca	_	_	_	CV	Reč 'dece' se odnosi na množinu od dete	http://llod.jerteh.rs/WSD/seDRS0457359_0.0	2	Llama4_simple	DRS0-457358/0.0;DRS0-457359/0.0	
2-7	157-158	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	0	_	_	
2-8	159-165	obično	ADV	ADV	_	_	obično	_	_	_	*	obično; po pravilu	http://llod.jerteh.rs/WSD/seENG3000155621b	3	Llama4_simple	ENG30-00041954-b;ENG30-00106921-b;ENG30-00155621-b	
2-9	166-168	se	PAR	PART	_	_	se	1	*	IRV	*[452]	glagol javljati se je adekvatno preveden sa pojaviti se[2001]	http://llod.jerteh.rs/WSD/seCVMWE0161[2001]	1[2001]	Llama4_simple	CVMWE-0161[2001]	
2-10	169-175	javlja	V	VERB	_	_	javljati	1	javljati se	IRV	*[452]	glagol javljati se je adekvatno preveden sa pojaviti se[2001]	http://llod.jerteh.rs/WSD/seCVMWE0161[2001]	1[2001]	Llama4_simple	CVMWE-0161[2001]	
2-11	176-182	između	PREP	ADP	_	_	između	_	_	_	_	_	_	0	_	_	
2-12	183-184	6	NUM	NUM	_	_	6	_	_	_	_	_	_	0	_	_	
2-13	185-191	meseci	N	NOUN	_	_	mesec	_	_	_	*	Vremenska jedinica koja odgovara datom kontekstu	http://llod.jerteh.rs/WSD/seENG3015207872n	6	Llama4_simple	ENG30-09358226-n;ENG30-09358550-n;ENG30-11484975-n;ENG30-15206296-n;ENG30-15207872-n;ENG30-15209413-n	
2-14	192-193	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	0	_	_	
2-15	194-195	5	NUM	NUM	_	_	5	_	_	_	_	_	_	0	_	_	
2-16	195-196	–	PUNCT	PUNCT	_	_	–	_	_	_	_	_	_	0	_	_	
