#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=Taj bod podelili su na jednake delove vozači koji su imali isti najbrži krug.
2-1	0-3	Taj	PRO	DET	_	_	taj	_	_	_	_	_	_	_	_	
2-2	4-7	bod	N	NOUN	_	_	bod	_	_	_	Nijedno ponuđeno značenje ne odgovara jer se ovde 'bod' odnosi na poen ili rezultat u sportskom takmičenju, a ne na tehniku vezenja.	http://llod.jerteh.rs/WSD/seENG3004321238n	1	FIRST	ENG30-04321238-n	
2-3	8-16	podelili	V	VERB	_	_	podeliti	_	_	_	U ovom kontekstu, 'podeliti' znači izvršiti operaciju deljenja jednog boda na jednake delove između više vozača, što najpreciznije odgovara ovom značenju.	http://llod.jerteh.rs/WSD/seENG3000642098v	7	ChatGPT	ENG30-00642098-v;ENG30-01063930-v;ENG30-01563724-v;ENG30-02031158-v;ENG30-02201644-v;ENG30-02255268-v;ENG30-02294436-v	
2-4	17-19	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
2-5	20-22	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	
2-6	23-30	jednake	A	ADJ	_	_	jednak	_	_	_	U ovom kontekstu, 'jednake' se odnosi na to da su delovi na koje je bod podeljen bili iste količine ili vrednosti za svakog vozača.	http://llod.jerteh.rs/WSD/seENG3001411065a	2	ChatGPT	ENG30-00744506-a;ENG30-01411065-a	
2-7	31-37	delove	N	NOUN	_	_	deo	_	_	_	U ovom kontekstu, 'delovi' se odnosi na rezultat deljenja jednog boda na jednake delove među vozačima, što odgovara značenju 'rezultat parcelisanja ili deljenja'.	http://llod.jerteh.rs/WSD/seENG3001085098n	7	ChatGPT	ENG30-01085098-n;ENG30-03892891-n;ENG30-05867413-n;ENG30-05868954-n;ENG30-08548733-n;ENG30-09385911-n;ENG30-13289159-n	
2-8	38-44	vozači	N	NOUN	http://www.wikidata.org/entity/Q352388	ROLE	vozač	_	_	_	U ovom kontekstu, 'vozači' se odnosi na osobe koje upravljaju motornim vozilima, konkretno u trkačkom okruženju, što odgovara ponuđenom značenju.	http://llod.jerteh.rs/WSD/seENG3010034906n	1	ChatGPT	ENG30-10034906-n	
2-9	45-49	koji	PRO	DET	_	_	koji	_	_	_	_	_	_	_	_	
2-10	50-52	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
2-11	53-58	imali	V	VERB	_	_	imati	_	_	_	U ovom kontekstu, 'imati' znači da su vozači posedovali ili ostvarili isti najbrži krug, što odgovara značenju 'imati ili posedovati, u direktnom ili apstraktnom značenju'.	http://llod.jerteh.rs/WSD/seENG3002203362v	10	ChatGPT	ENG30-00065370-v;ENG30-00121046-v;ENG30-01426397-v;ENG30-02047097-v;ENG30-02203362-v;ENG30-02204692-v;ENG30-02205098-v;ENG30-02629535-v;ENG30-02704349-v;ENG30-02740745-v	
2-12	59-63	isti	A	ADJ	_	_	isti	_	_	_	U ovom kontekstu, 'isti' označava da su vozači imali potpuno identičan najbrži krug, dakle radi se o identitetu vremena, a ne samo o sličnosti ili jednakosti po vrednosti.	http://llod.jerteh.rs/WSD/seENG3002068476a	4	ChatGPT	ENG30-01410606-a;ENG30-01411065-a;ENG30-02062670-a;ENG30-02068476-a	
2-13	64-71	najbrži	A	ADJ	_	_	brz	_	_	_	U ovom kontekstu, 'najbrži krug' označava krug koji je ostvaren najvećom brzinom, odnosno karakteriše ga brzina, što najpreciznije odgovara ovom značenju.	http://llod.jerteh.rs/WSD/seENG3000979862a	8	ChatGPT	ENG30-00032733-a;ENG30-00323873-a;ENG30-00977699-a;ENG30-00978754-a;ENG30-00979697-a;ENG30-00979862-a;ENG30-01562992-a;ENG30-01931676-a	
2-14	72-76	krug	N	NOUN	_	_	krug	_	_	_	U kontekstu auto-moto trka, 'krug' se odnosi na jedno kretanje oko staze, što je najbrži pređeni krug tokom trke.	http://llod.jerteh.rs/WSD/seENG3000295172n	5	ChatGPT	ENG30-00295172-n;ENG30-00310666-n;ENG30-03032811-n;ENG30-05999134-n;ENG30-08240169-n	
2-15	76-77	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Govoreći o naslovu i konceptu albuma, Gaga je objasnila: „Slava govori o tome kako se svako može osećati slavnim.“
4-1	77-85	Govoreći	V	VERB	_	_	govoriti	_	_	_	U ovom kontekstu, 'govoreći' znači 'izraziti govorom', odnosno Gaga je govorila o naslovu i konceptu albuma, iznoseći svoje misli rečima.	http://llod.jerteh.rs/WSD/seENG3000941990v	6	ChatGPT	ENG30-00593852-v;ENG30-00921300-v;ENG30-00941990-v;ENG30-00962447-v;ENG30-00963570-v;ENG30-00989201-v	
4-2	86-87	o	PREP	ADP	_	_	o	_	_	_	_	_	_	_	_	
4-3	88-95	naslovu	N	NOUN	_	_	naslov	_	_	_	U ovom kontekstu, 'naslov' se odnosi na ime umetničkog dela, odnosno ime albuma o kojem Gaga govori.	http://llod.jerteh.rs/WSD/seENG3006343520n	7	ChatGPT	ENG30-04073208-n;ENG30-06343520-n;ENG30-06343971-n;ENG30-06344461-n;ENG30-06346461-n;ENG30-06405699-n;ENG30-06783768-n	
4-4	96-97	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
4-5	98-106	konceptu	N	NOUN	_	_	koncept	_	_	_	U ovom kontekstu, 'koncept' se odnosi na apstraktnu ili opštu ideju koja stoji iza albuma, a ne na skicu, plan ili preliminarnu verziju pisanog dela.	http://llod.jerteh.rs/WSD/seENG3005835747n	3	ChatGPT	ENG30-03179318-n;ENG30-05835747-n;ENG30-06390962-n	
