#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Comment|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=Mnogo je siromaštva i nezaposlenosti.
1-1	0-5	Mnogo	ADV	ADV	_	_	mnogo	_	_	_	*	'Mnogo' ovde kvantifikuje imenice 'siromaštva' i 'nezaposlenosti', označavajući da ih ima u velikim količinama.	http://llod.jerteh.rs/WSD/seENG3000059413b	4	gpt-5	ENG30-00032803-b;ENG30-00059086-b;ENG30-00059413-b;ENG30-00145713-b	
1-2	6-8	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
1-3	9-19	siromaštva	N	NOUN	_	_	siromaštvo	_	_	_	*	Rečenica govori opšte o visokom nivou siromaštva u društvu, bez nagoveštaja krajnjeg ili ekstremnog siromaštva, pa odgovara opštem značenju.	http://llod.jerteh.rs/WSD/seENG3014493145n	3	gpt-5	ENG30-14493145-n;ENG30-14493426-n;ENG30-14493716-n	
1-4	20-21	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	_	
1-5	22-36	nezaposlenosti	N	NOUN	_	_	nezaposlenost	_	_	_	*	Rečenica govori o društvenim problemima, pa 'nezaposlenost' označava stanje kada ljudi nemaju posao.	http://llod.jerteh.rs/WSD/seENG3013968308n	1	gpt-5	ENG30-13968308-n	
1-6	36-37	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=Taj bod podelili su na jednake delove vozači koji su imali isti najbrži krug.
2-1	38-41	Taj	PRO	DET	_	_	taj	_	_	_	_	_	_	_	_	_	
2-2	42-45	bod	N	NOUN	_	_	bod	_	_	_	*	U kontekstu sportskog takmičenja, 'bod' označava jedinicu za beleženje rezultata; ovde se govori o bodu za najbrži krug koji je podeljen među vozačima.	http://llod.jerteh.rs/WSD/seENG3013610162n	2	gpt-5	ENG30-04321238-n;ENG30-13610162-n	
2-3	46-54	podelili	V	VERB	_	_	podeliti	_	_	_	*	Ovde ‘podeliti’ znači razdeliti bod na delove; bod je podeljen na jednake delove među vozačima koji su imali isti najbrži krug.	http://llod.jerteh.rs/WSD/seENG3001563724v	7	gpt-5	ENG30-00642098-v;ENG30-01063930-v;ENG30-01563724-v;ENG30-02031158-v;ENG30-02201644-v;ENG30-02255268-v;ENG30-02294436-v	
2-4	55-57	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
2-5	58-60	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	_	
2-6	61-68	jednake	A	ADJ	_	_	jednak	_	_	_	*	Ovde 'jednake delove' znači da su delovi boda jednaki po količini/vrednosti, tj. bod je podeljen na ravnopravne, ekvivalentne udele.	http://llod.jerteh.rs/WSD/seENG3001411065a	3	gpt-5	CV0138;ENG30-00744506-a;ENG30-01411065-a	
2-7	69-75	delove	N	NOUN	_	_	deo	_	_	_	*	Reč 'delove' odnosi se na udele boda dobijene njegovom podelom među vozačima, dakle rezultat deljenja.	http://llod.jerteh.rs/WSD/seENG3001085098n	8	gpt-5	ENG30-01085098-n;ENG30-03892891-n;ENG30-05867413-n;ENG30-05868954-n;ENG30-08548733-n;ENG30-09385911-n;ENG30-13289159-n;ENG30-13809207-n	
2-8	76-82	vozači	N	NOUN	http://www.wikidata.org/entity/Q352388	ROLE	vozač	_	_	_	*	Kontekst je trka i najbrži krug, pa 'vozači' označava takmičare koji upravljaju automobilima, tj. vozače motornog vozila.	http://llod.jerteh.rs/WSD/seENG3010034906n	1	gpt-5	ENG30-10034906-n	
2-9	83-87	koji	PRO	DET	_	_	koji	_	_	_	_	_	_	_	_	_	
2-10	88-90	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
2-11	91-96	imali	V	VERB	_	_	imati	_	_	_	*	U izrazu 'imali isti najbrži krug' glagol znači posedovanje/ostvarenje apstraktnog rezultata, pa odgovara opštem značenju 'imati/posedovati'.	http://llod.jerteh.rs/WSD/seENG3002203362v	11	gpt-5	ENG30-00065370-v;ENG30-00121046-v;ENG30-01426397-v;ENG30-02047097-v;ENG30-02203362-v;ENG30-02204692-v;ENG30-02205098-v;ENG30-02302220-v;ENG30-02629535-v;ENG30-02704349-v;ENG30-02740745-v	
2-12	97-101	isti	A	ADJ	_	_	isti	_	_	_	*	Odnosi se na jednaku vrednost vremena najbržeg kruga – vozači su imali jednak rezultat pa su podelili bod.	http://llod.jerteh.rs/WSD/seENG3001411065a	4	gpt-5	ENG30-01410606-a;ENG30-01411065-a;ENG30-02062670-a;ENG30-02068476-a	
2-13	102-109	najbrži	A	ADJ	_	_	brz	_	_	_	*	'Najbrži krug' u trkama znači krug obavljen u najkraćem vremenu, dakle događaj koji se dešava u kratkom periodu. To najtačnije odgovara ovom značenju.	http://llod.jerteh.rs/WSD/seENG3000979697a	8	gpt-5	ENG30-00032733-a;ENG30-00323873-a;ENG30-00977699-a;ENG30-00978754-a;ENG30-00979697-a;ENG30-00979862-a;ENG30-01562992-a;ENG30-01931676-a	
2-14	110-114	krug	N	NOUN	_	_	krug	_	_	_	*	U kontekstu auto-moto trka, 'najbrži krug' označava najbrže vreme za jedno obilazak staze. To odgovara značenju kretanje jednom oko staze.	http://llod.jerteh.rs/WSD/seENG3000295172n	7	gpt-5	ENG30-00295172-n;ENG30-00310666-n;ENG30-01234625-v;ENG30-03032811-n;ENG30-05999134-n;ENG30-08240169-n;ENG30-15287830-n	
