#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=Bol može biti jači tokom noći i može se pojačati tokom vremena dok ne postane nepodnošljiv i neprekidan.
3-1	0-3	Bol	N	NOUN	_	_	bol	_	_	_	U ovom kontekstu, 'bol' se odnosi na fizički simptom koji može postati jači i neprekidan, što jasno ukazuje na značenje fizičke patnje ili simptoma povrede ili poremećaja.	http://llod.jerteh.rs/WSD/seENG3014322699n	2	ChatGPT	ENG30-07535010-n;ENG30-14322699-n	
3-2	4-8	može	V	VERB	_	_	moći	_	_	_	U ovom kontekstu, 'može' označava mogućnost da se bol pojača ili postane jači, što odgovara značenju 'istrajati ili uspevati' u smislu da bol ima sposobnost da se razvije ili nastavi.	http://llod.jerteh.rs/WSD/seENG3002523221v	1	ChatGPT	ENG30-02523221-v	
3-3	9-13	biti	V	AUX	_	_	biti	_	_	_	_	_	_	_	_	
3-4	14-18	jači	A	ADJ	_	_	jak	_	_	_	U ovom kontekstu, 'jači' opisuje bol koji se ispoljava u visokom stepenu ili intenzitetu, što odgovara značenju 'karakteriše ga visok stepen ili intenzitet'.	http://llod.jerteh.rs/WSD/seENG3001512275a	9	ChatGPT	ENG30-00803275-a;ENG30-00835158-a;ENG30-01068609-a;ENG30-01158974-a;ENG30-01509527-a;ENG30-01512275-a;ENG30-01824244-a;ENG30-01961786-a;ENG30-02321009-a	
3-5	19-24	tokom	PREP	ADP	_	_	tokom	_	_	_	_	_	_	_	_	
3-6	25-29	noći	N	NOUN	_	_	noć	_	_	_	U ovom kontekstu, 'noć' se odnosi na period posle zalaska sunca a pre njegovog izlaska, kada je napolju mračno, što je relevantno za opisivanje kada se bol pojačava.	http://llod.jerteh.rs/WSD/seENG3015167027n	3	ChatGPT	ENG30-15155747-n;ENG30-15167027-n;ENG30-15167474-n	
3-7	30-31	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
3-8	32-36	može	V	VERB	_	_	moći	_	_	_	U ovom kontekstu, 'može' označava mogućnost ili potencijal da se nešto desi, a ne istrajavanje ili uspevanje, tako da ponuđeno značenje nije odgovarajuće.	http://llod.jerteh.rs/WSD/seENG3002523221v	1	FIRST	ENG30-02523221-v	
3-9	37-39	se	PAR	PART	_	_	se	1	*	IRV	U ovom kontekstu, 'pojačati se' znači da bol dobija na intenzitetu tokom vremena, što odgovara ovom značenju.[2002]	http://llod.jerteh.rs/WSD/seENG3000226566v[2002]	2[2002]	ChatGPT	CVMWE-0298;ENG30-00226566-v[2002]	
3-10	40-48	pojačati	V	VERB	_	_	pojačati	1	pojačati se	IRV	U ovom kontekstu, 'pojačati se' znači da bol dobija na intenzitetu tokom vremena, što odgovara ovom značenju.[2002]	http://llod.jerteh.rs/WSD/seENG3000226566v[2002]	2[2002]	ChatGPT	CVMWE-0298;ENG30-00226566-v[2002]	
3-11	49-54	tokom	PREP	ADP	_	_	tokom	2[994]	tokom vremena[994]	AdvID[994]	U ovom kontekstu, 'tokom vremena' znači da se bol postepeno pojačava kroz duži vremenski period, što odgovara ponuđenom značenju.[2003]	http://llod.jerteh.rs/WSD/seCVMWE0453[2003]	1[2003]	ChatGPT	CVMWE-0453[2003]	
3-12	55-62	vremena	N	NOUN	_	_	vreme	2[994]	tokom vremena[994]	AdvID[994]	U ovom kontekstu, 'tokom vremena' znači da se bol postepeno pojačava kroz duži vremenski period, što odgovara ponuđenom značenju.[2003]	http://llod.jerteh.rs/WSD/seCVMWE0453[2003]	1[2003]	ChatGPT	CVMWE-0453[2003]	
3-13	63-66	dok	CONJ	SCONJ	_	_	dok	_	_	_	_	_	_	_	_	
3-14	67-69	ne	PAR	PART	_	_	ne	_	_	_	_	_	_	_	_	
3-15	70-77	postane	V	VERB	_	_	postati	_	_	_	U ovom kontekstu, 'postati' znači da bol ulazi ili poprima stanje nepodnošljivosti i neprekidnosti, što najpreciznije odgovara ovom značenju.	http://llod.jerteh.rs/WSD/seENG3000149583v	5	ChatGPT	ENG30-00094460-v;ENG30-00149583-v;ENG30-02381571-v;ENG30-02623529-v;ENG30-02626604-v	
3-16	78-90	nepodnošljiv	A	ADJ	_	_	nepodnošljiv	_	_	_	U ovom kontekstu, 'nepodnošljiv' opisuje bol koji je toliko jak da ga je nemoguće podneti, što najpreciznije odgovara značenju 'nemoguće podneti'.	http://llod.jerteh.rs/WSD/seENG3002347979a	2	ChatGPT	ENG30-02347979-a;ENG30-02436025-a	
3-17	91-92	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
3-18	93-103	neprekidan	A	ADJ	_	_	neprekidan	_	_	_	U ovom kontekstu, 'neprekidan' opisuje bol koji traje bez prekida tokom vremena, što se najpreciznije poklapa sa značenjem 'postojan u vremenu ili prostoru bez prekida'.	http://llod.jerteh.rs/WSD/seENG3000594413a	5	ChatGPT	ENG30-00516360-a;ENG30-00594413-a;ENG30-00595299-a;ENG30-00597424-a;ENG30-01755024-a	
3-19	103-104	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Međunarodna hemijska olimpijada (IChO) je godišnje akademsko takmičenje učenika srednjih škola.
7-1	104-115	Međunarodna	A	ADJ	http://www.wikidata.org/entity/Q861060[189]	EVENT[189]	međunarodan	_	_	_	U ovom kontekstu, 'međunarodna' označava da hemijska olimpijada uključuje učesnike iz više država, što odgovara značenju 'koji se tiče ili pripada bar dvema nacijama ili državama'.	http://llod.jerteh.rs/WSD/seENG3001568375a	1	ChatGPT	ENG30-01568375-a	
