#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Ainotes


#Text=Ojlerov identitet je dobio ime po švajcarskom matematičaru Leonardu Ojleru.
101-1	0-7	Ojlerov	A	ADJ	_	_	Ojlerov	2[786]	Ojlerov identitet[786]	NID[786]	LLM-0161[3000]	1[3000]	LLM-0161[3000]	Ojlerov identitet je matematička formula, što se poklapa sa definicijom pod ID-jem LLM-0161.[3000]	
101-2	8-17	identitet	N	NOUN	_	_	identitet	2[786]	Ojlerov identitet[786]	NID[786]	LLM-0161[3000]	1[3000]	LLM-0161[3000]	Ojlerov identitet je matematička formula, što se poklapa sa definicijom pod ID-jem LLM-0161.[3000]	
101-3	18-20	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
101-4	21-26	dobio	V	VERB	_	_	dobiti	1	dobiti ime	LVC.full	CVMWE-0057[3001]	1[3001]	CVMWE-0057[3001]	U datom kontekstu, Ojlerov identitet je nazvan po Leonardu Ojleru, što odgovara značenju 'biti nazvan po nekome ili nečemu'.[3001]	
101-5	27-30	ime	N	NOUN	_	_	ime	1	*	LVC.full	CVMWE-0057[3001]	1[3001]	CVMWE-0057[3001]	U datom kontekstu, Ojlerov identitet je nazvan po Leonardu Ojleru, što odgovara značenju 'biti nazvan po nekome ili nečemu'.[3001]	
101-6	31-33	po	PREP	ADP	_	_	po	_	_	_	_	_	_	_	
101-7	34-45	švajcarskom	A	ADJ	*	DEMO	švajcarski	_	_	_	ENG30-02960975-a	1	ENG30-02960975-a	Reč 'švajcarski' se koristi da opiše Leonarda Ojlera kao matematičara koji potiče iz Švajcarske, što odgovara značenju 'koji se tiče Šajcarske, njenih ljudi'.	
101-8	46-58	matematičaru	N	NOUN	http://www.wikidata.org/entity/Q170790	ROLE	matematičar	_	_	_	ENG30-10301261-n	1	ENG30-10301261-n	Definicija 'naučnik koji se bavi matematikom' se savršeno uklapa u kontekst rečenice, jer se rečenica odnosi na Leonarda Ojlera, koji je bio naučnik i bavio se matematikom.	
101-9	59-67	Leonardu	N	PROPN	http://www.wikidata.org/entity/Q7604[53]	PERS[53]	Leonard	_	_	_	_	_	_	_	
101-10	68-74	Ojleru	N	PROPN	http://www.wikidata.org/entity/Q7604[53]	PERS[53]	Ojler	_	_	_	_	_	_	_	
101-11	74-75	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=Pavija je pala posle trogodišnje opsade, 572. godine, i postala prva prestonica nove lombardijske kraljevine Italije.
102-1	75-81	Pavija	N	PROPN	http://www.wikidata.org/entity/Q6259	LOC	Pavija	_	_	_	_	_	_	_	
