#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Comment|Ainotes


#Text=Tehnološki faktori podrazumevaju tehnološke aspekte, kao što su aktivnosti istraživanja i razvoja, automatizacija, tehnološki podsticaji i stopa tehnoloških promena.
1-1	0-10	Tehnološki	A	ADJ	_	_	tehnološki	_	_	_	ENG30-02809692-a	2	ENG30-02084979-a;ENG30-02809692-a	*	simple_wsd - ENG30-02809692-a:0.4475::Koji se odnosi na praktičan predmet koji je organizovan po naučnim principima. - ENG30-02084979-a:0.4060::zasnovano na naučnom i industrijskom napretku	
1-2	11-18	faktori	N	NOUN	_	_	faktor	_	_	_	ENG30-07327805-n	3	ENG30-05436752-n;ENG30-07327805-n;ENG30-10461424-n	*	simple_wsd - ENG30-07327805-n:0.4324::Bilo šta što uzročno doprinosi rezultatu. - ENG30-10461424-n:0.3891::Neko ko poseduje ili primenjuje silu, uticaj ili autoritet. - ENG30-05436752-n:0.3422::(genetika) segment DNK koji je uključen u proizvodnju polipeptidnog lanca; može uključivati regione koji prethode i sle…	
1-3	19-32	podrazumevaju	V	VERB	_	_	podrazumevati	_	_	_	ENG30-00930599-v	3	ENG30-00930599-v;ENG30-02634808-v;ENG30-02635189-v	*	simple_wsd - ENG30-00930599-v:0.3662::nagovestiti, predlagati, kao logički neophodnu posledicu; u logici - ENG30-02634808-v:0.3474::nametnuti, uključiti ili implicirati kao neophodnu pratnju ili rezultat - ENG30-02635189-v:0.3213::imati kao logičnu posledicu	
1-4	33-43	tehnološke	A	ADJ	_	_	tehnološki	_	_	_	ENG30-02809692-a	2	ENG30-02084979-a;ENG30-02809692-a	*	simple_wsd - ENG30-02809692-a:0.4366::Koji se odnosi na praktičan predmet koji je organizovan po naučnim principima. - ENG30-02084979-a:0.3855::zasnovano na naučnom i industrijskom napretku	
1-5	44-51	aspekte	N	NOUN	_	_	aspekt	_	_	_	ENG30-04733118-n	5	ENG30-04733118-n;ENG30-05850624-n;ENG30-05852553-n;ENG30-05852973-n;ENG30-13804669-n	*	simple_wsd - ENG30-04733118-n:0.5094::karakteristika koja se treba uzeti u obzir - ENG30-05852553-n:0.4943::aspekt nečega (u suprotnosti sa nekim drugim podrazumevanim aspektom) - ENG30-13804669-n:0.4768::dužina ili tip vremenske aktivnosti označene glagolom	
1-6	51-52	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
1-7	53-56	kao	CONJ	SCONJ	_	_	kao	1[6]	kao što[6]	ConjID[6]	LLM-0091[2000]	1[2000]	LLM-0091[2000]	*[14]	simple_wsd - LLM-0091:0.3701::Veznik koji uvodi poređenje ili primer; na način kao.[2000]	
1-8	57-60	što	CONJ	SCONJ	_	_	što	1[6]	kao što[6]	ConjID[6]	LLM-0091[2000]	1[2000]	LLM-0091[2000]	*[14]	simple_wsd - LLM-0091:0.3701::Veznik koji uvodi poređenje ili primer; na način kao.[2000]	
1-9	61-63	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
1-10	64-74	aktivnosti	N	NOUN	_	_	aktivnost	_	_	_	ENG30-14006945-n	2	ENG30-00407535-n;ENG30-14006945-n	*	simple_wsd - ENG30-14006945-n:0.3728::Stanje u kome je neko aktivan. - ENG30-00407535-n:0.3395::nešto što osoba ili grupa radi ili je uradila	
1-11	75-87	istraživanja	N	NOUN	_	_	istraživanje	_	_	_	ENG30-00633864-n	7	ENG30-00310063-n;ENG30-00633864-n;ENG30-00636728-n;ENG30-00636921-n;ENG30-00644503-n;ENG30-00945777-n;ENG30-00947041-n	*	simple_wsd - ENG30-00633864-n:0.4975::Rad koji istražuje nešto sistematski i iscrpno. - ENG30-00636728-n:0.4854::sistematsko istraživanje pitanja od javnog interesa - ENG30-00945777-n:0.4804::pažljiva sistematska pretraga	
1-12	88-89	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
