#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Comment|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=U petoj sezoni program je održan u skladu sa novim konceptom: jedan mladi fudbaler iz svake zemlje izabran je kao njen predstavnik.
1-1	0-1	U	PREP	ADP	_	_	u	_	_	_	_	_	_	0	_	_	
1-2	2-7	petoj	A	ADJ	_	_	peti	_	_	_	*	Ovdje se 'peti' koristi kao redni broj koji označava položaj u nizu, što se slaže sa datim značenjem.	http://llod.jerteh.rs/WSD/seENG3002202712a	1	Llama4_nonew	ENG30-02202712-a	
1-3	8-14	sezoni	N	NOUN	_	_	sezona	_	_	_	*	Ovo značenje se odnosi na period godine koji je vezan za posebne događaje ili aktivnosti, što se uklapa u kontekst rečenice gde se sezona odnosi na period u kome se odvija program.	http://llod.jerteh.rs/WSD/seENG3015239579n	1	Llama4_nonew	ENG30-15239579-n	
1-4	15-22	program	N	NOUN	_	_	program	_	_	_	CV	U kontekstu rečenice, 'program' se odnosi na sistem ili plan koji je organizovan da zadovolji određene potrebe, u ovom slučaju, izbor mladog fudbalera kao predstavnika zemlje.	http://llod.jerteh.rs/WSD/seENG3005899087n	7	Llama4_nonew	ENG30-00551215-n;ENG30-03962685-n;ENG30-05898568-n;ENG30-05899087-n;ENG30-06568978-n;ENG30-06619428-n;ENG30-06676416-n	
1-5	23-25	je	V	AUX	_	_	jesam	_	_	_	_	_	_	0	_	_	
1-6	26-32	održan	V	VERB	_	_	održati	_	_	_	CV	U kontekstu rečenice, 'održan' se odnosi na održavanje programa u skladu sa novim konceptom, što znači primeniti ili sprovesti u skladu sa nekim planom ili idejom.	http://llod.jerteh.rs/WSD/seENG3002408965v	7	Llama4_nonew	ENG30-00118523-v;ENG30-00339934-v;ENG30-01733477-v;ENG30-02202928-v;ENG30-02280132-v;ENG30-02408965-v;ENG30-02679899-v	
1-7	33-34	u	PREP	ADP	_	_	u	1[187]	u skladu sa[187]	AdpID[187]	*[451]	Izraz 'u skladu sa' se koristi za označavanje usaglašenosti ili harmonije između dva elementa, što se potpuno poklapa sa datim kontekstom gde se govori o održanju programa prema novom konceptu.[2000]	http://llod.jerteh.rs/WSD/seLLM0288[2000]	1[2000]	Llama4_nonew	LLM-0288[2000]	
1-8	35-41	skladu	N	NOUN	_	_	sklad	1[187]	u skladu sa[187]	AdpID[187]	*[451]	Izraz 'u skladu sa' se koristi za označavanje usaglašenosti ili harmonije između dva elementa, što se potpuno poklapa sa datim kontekstom gde se govori o održanju programa prema novom konceptu.[2000]	http://llod.jerteh.rs/WSD/seLLM0288[2000]	1[2000]	Llama4_nonew	LLM-0288[2000]	
1-9	42-44	sa	PREP	ADP	_	_	sa	1[187]	u skladu sa[187]	AdpID[187]	*[451]	Izraz 'u skladu sa' se koristi za označavanje usaglašenosti ili harmonije između dva elementa, što se potpuno poklapa sa datim kontekstom gde se govori o održanju programa prema novom konceptu.[2000]	http://llod.jerteh.rs/WSD/seLLM0288[2000]	1[2000]	Llama4_nonew	LLM-0288[2000]	
1-10	45-50	novim	A	ADJ	_	_	nov	_	_	_	*	Ovo značenje najbolje pristaje uz kontekst rečenice jer 'nov' koncept implicira promenu ili drugačiji pristup u odnosu na prethodni.	http://llod.jerteh.rs/WSD/seENG3002070491a	6	Llama4_nonew	ENG30-00418198-a;ENG30-00820975-a;ENG30-00821208-a;ENG30-01640850-a;ENG30-01687167-a;ENG30-02070491-a	
1-11	51-60	konceptom	N	NOUN	_	_	koncept	_	_	_	CV	Koncept se ovde odnosi na osnovnu zamisao ili plan programa, što se najbolje poklapa sa značenjem ID-a CV004.	http://llod.jerteh.rs/WSD/seCV004	4	Llama4_nonew	CV004;ENG30-03179318-n;ENG30-05835747-n;ENG30-06390962-n	
1-12	60-61	:	PUNCT	PUNCT	_	_	:	_	_	_	_	_	_	0	_	_	
1-13	62-67	jedan	NUM	NUM	_	_	jedan	_	_	_	_	_	_	0	_	_	
1-14	68-73	mladi	A	ADJ	_	_	mlad	_	_	_	*	Ovo značenje najbolje odgovara kontekstu rečenice jer se odnosi na osobu ili biće u ranom stadijumu života ili razvoja, što je slučaj i kod prideva 'mladi' koji se koristi za osobu koja nije još potpuno odrasla ili razvijena.	http://llod.jerteh.rs/WSD/seENG3001674464a	2	Llama4_nonew	ENG30-00818008-a;ENG30-01674464-a	
1-15	74-82	fudbaler	N	NOUN	http://www.wikidata.org/entity/Q937857	ROLE	fudbaler	_	_	_	*	Ovo značenje je najbliže kontekstu rečenice jer se odnosi na igrača fudbala, što je očevidno iz konteksta.	http://llod.jerteh.rs/WSD/seENG3010618342n	2	Llama4_nonew	ENG30-10101634-n;ENG30-10618342-n	
1-16	83-85	iz	PREP	ADP	_	_	iz	_	_	_	_	_	_	0	_	_	
1-17	86-91	svake	PRO	DET	_	_	svaki	_	_	_	_	_	_	0	_	_	
1-18	92-98	zemlje	N	NOUN	_	_	zemlja	_	_	_	*	Ovo značenje najbolje odgovara kontekstu rečenice jer se odnosi na geografsko područje koje je pod jurisdikcijom određene države ili entiteta, što je relevantno za izbor predstavnika neke zemlje.	http://llod.jerteh.rs/WSD/seENG3008493064n	11	Llama4_nonew	ENG30-08168978-n;ENG30-08493064-n;ENG30-08544813-n;ENG30-09270894-n;ENG30-09334396-n;ENG30-09335240-n;ENG30-09451517-n;ENG30-13250048-n;ENG30-14842992-n;ENG30-14844414-n;ENG30-14844693-n	
1-19	99-106	izabran	V	VERB	_	_	izabrati	_	_	_	*	U kontekstu rečenice, 'izabrati' se odnosi na pažljiv izbor jednog mladog fudbalera iz svake zemlje kao predstavnika, što odgovara značenju 'odabrati pažljivo iz grupe'.	http://llod.jerteh.rs/WSD/seENG3000676450v	5	Llama4_nonew	ENG30-00676450-v;ENG30-00676864-v;ENG30-00679937-v;ENG30-00790308-v;ENG30-01078050-v	
1-20	107-109	je	V	AUX	_	_	jesam	_	_	_	_	_	_	0	_	_	
1-21	110-113	kao	CONJ	CCONJ	_	_	kao	_	_	_	_	_	_	0	_	_	
1-22	114-118	njen	PRO	DET	_	_	njen	_	_	_	_	_	_	0	_	_	
1-23	119-130	predstavnik	N	NOUN	_	_	predstavnik	_	_	_	*	U kontekstu rečenice, 'predstavnik' se odnosi na lice koje je izabrano da zastupa ili deluje u ime druge osobe ili grupe, u ovom slučaju, kao zastupnik svoje zemlje.	http://llod.jerteh.rs/WSD/seENG3010005721n	3	Llama4_nonew	ENG30-05820620-n;ENG30-10005721-n;ENG30-10522035-n	
1-24	130-131	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	0	_	_	

#Text=Krup pogađa oko 15 % dece i obično se javlja između 6 meseci i 5–6 godina.
2-1	131-135	Krup	N	NOUN	_	_	krup	_	_	_	*	Krup se odnosi na bolest koja pogađa decu, karakterisana jakim kašljem, promuklošću, groznicom i otežanim disanjem, što se poklapa sa opisom datom u kontekstu.	http://llod.jerteh.rs/WSD/seENG3014174011n	2	Llama4_nonew	ENG30-14174011-n;ENG30-14349311-n	
2-2	136-142	pogađa	V	VERB	_	_	pogađati	_	_	_	CV	U kontekstu rečenice, 'pogađa' se odnosi na učinak ili dejstvo neke pojave (krup) na određenu grupu (dece), što odgovara značenju imati uticaja na nešto.	http://llod.jerteh.rs/WSD/seENG3000019448v	2	Llama4_nonew	DRJ0-212537/0;ENG30-00019448-v	
2-3	143-146	oko	ADV	ADV	_	_	oko	_	_	_	*	Oko se koristi kao neprecizna količina, što se vidi iz konteksta gde se govori o procenatima koji se približno odnose na tu cifru.	http://llod.jerteh.rs/WSD/seENG3000007015b	1	Llama4_nonew	ENG30-00007015-b	
2-4	147-149	15	NUM	NUM	_	_	15	_	_	_	_	_	_	0	_	_	
2-5	150-151	%	PUNCT	SYM	_	_	%	_	_	_	_	_	_	0	_	_	
2-6	152-156	dece	N	NOUN	_	_	deca	_	_	_	CV	Ovo značenje najbolje odgovara kontekstu rečenice jer se odnosi na uzrast 'dece' kao što je navedeno između 6 meseci i 5–6 godina.	http://llod.jerteh.rs/WSD/seDRS0457358_0.0	3	Llama4_nonew	DRS0-457358/0.0;DRS0-457359/0.0;ENG30-09917593-n	
2-7	157-158	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	0	_	_	
2-8	159-165	obično	ADV	ADV	_	_	obično	_	_	_	*	Ovdje se 'obično' koristi u značenju koje se odnosi na pravilo ili standard, naznačavajući kada se nešto obično dešava.	http://llod.jerteh.rs/WSD/seENG3000155621b	3	Llama4_nonew	ENG30-00041954-b;ENG30-00106921-b;ENG30-00155621-b	
2-9	166-168	se	PAR	PART	_	_	se	1	*	IRV	*[452]	U kontekstu rečenice, 'javljati se' se odnosi na pojavu ili nastanak neke pojave, u ovom slučaju krup, kod dece u određenom uzrastu.[2001]	http://llod.jerteh.rs/WSD/seCVMWE0161[2001]	1[2001]	Llama4_nonew	CVMWE-0161[2001]	
