#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Comment|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=Bakterije se mogu širiti i putem krvi.
185-1	17460-17469	Bakterije	N	NOUN	_	_	bakterija	_	_	_	*	U ovom kontekstu, 'bakterije' se odnosi na mikroorganizme koji mogu da se šire putem krvi, što odgovara opisu jednoćelijskih organizama iz ponuđenog značenja.	http://llod.jerteh.rs/WSD/seENG3001348530n	1	ChatGPT	ENG30-01348530-n	
185-2	17470-17472	se	PAR	PART	_	_	se	1	*	IRV	*[607]	U ovom kontekstu, 'širiti se' znači da bakterije postaju rasprostranjenije i zauzimaju veći prostor u organizmu, što odgovara značenju 'uzimati maha, dobijati sve veće razmere, postajati se rasprostranjeniji'.[607]	http://llod.jerteh.rs/WSD/seCVMWE0399[607]	2[607]	ChatGPT[607]	CVMWE-0399\;ENG30-00969873-v[607]	
185-3	17473-17477	mogu	V	VERB	_	_	moći	_	_	_	*[607]|*[608]	U ovom kontekstu, 'širiti se' znači da bakterije postaju rasprostranjenije i zauzimaju veći prostor u organizmu, što odgovara značenju 'uzimati maha, dobijati sve veće razmere, postajati se rasprostranjeniji'.[607]|U ovom kontekstu, 'mogu' označava sposobnost ili mogućnost da se bakterije šire putem krvi, a ne istrajavanje ili uspevanje, pa ponuđeno značenje nije odgovarajuće.[608]	http://llod.jerteh.rs/WSD/seCVMWE0399[607]|http://llod.jerteh.rs/WSD/seENG3002523221v[608]	2[607]|1[608]	ChatGPT[607]|FIRST[608]	CVMWE-0399\;ENG30-00969873-v[607]|ENG30-02523221-v[608]	
185-4	17478-17484	širiti	V	VERB	_	_	širiti	1	širiti se	IRV	*[607]	U ovom kontekstu, 'širiti se' znači da bakterije postaju rasprostranjenije i zauzimaju veći prostor u organizmu, što odgovara značenju 'uzimati maha, dobijati sve veće razmere, postajati se rasprostranjeniji'.[607]	http://llod.jerteh.rs/WSD/seCVMWE0399[607]	2[607]	ChatGPT[607]	CVMWE-0399\;ENG30-00969873-v[607]	
185-5	17485-17486	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	_	
185-6	17487-17492	putem	PREP	ADP	_	_	putem	_	_	_	_	_	_	_	_	_	
185-7	17493-17497	krvi	N	NOUN	_	_	krv	_	_	_	*	U ovom kontekstu, 'krv' se odnosi na tečnost koju pumpa srce i koja može služiti kao medijum za širenje bakterija kroz organizam.	http://llod.jerteh.rs/WSD/seENG3005399847n	1	ChatGPT	ENG30-05399847-n	
185-8	17497-17498	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=Simptomi se obično poboljšavaju u roku od dva dana, ali mogu trajati i do sedam dana.
