#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=Želim samo da ispunjavam Božju volju.
19-1	0-5	Želim	V	VERB	_	_	želeti	_	_	_	U ovom kontekstu, 'želeti' znači imati želju da se nešto uradi, odnosno da se ispunjava Božja volja, što najpreciznije odgovara ovom značenju.	http://llod.jerteh.rs/WSD/seENG3001824736v	8	ChatGPT	ENG30-00709205-v;ENG30-00902932-v;ENG30-00903098-v;ENG30-01824736-v;ENG30-01825237-v;ENG30-01825962-v;ENG30-01826723-v;ENG30-02632567-v	
19-2	6-10	samo	ADV	ADV	_	_	samo	1[1450]	samo da[1450]	ConjID[1450]	U ovom kontekstu, 'samo da' uvodi želju govornika da ispunjava Božju volju, što odgovara značenju veznika koji uvodi želju ili uslov.[2007]	http://llod.jerteh.rs/WSD/seLLM0237[2007]	1[2007]	ChatGPT	LLM-0237[2007]	
19-3	11-13	da	CONJ	SCONJ	_	_	da	1[1450]	samo da[1450]	ConjID[1450]	U ovom kontekstu, 'samo da' uvodi želju govornika da ispunjava Božju volju, što odgovara značenju veznika koji uvodi želju ili uslov.[2007]	http://llod.jerteh.rs/WSD/seLLM0237[2007]	1[2007]	ChatGPT	LLM-0237[2007]	
19-4	14-24	ispunjavam	V	VERB	_	_	ispunjavati	_	_	_	U ovom kontekstu, 'ispunjavati' znači izvršavati ili slediti Božju volju, a ne postojati kao unutrašnji duh ili princip. Nijedno ponuđeno značenje ne odgovara upotrebi u rečenici.	http://llod.jerteh.rs/WSD/seENG3002617196v	1	FIRST	ENG30-02617196-v	
19-5	25-30	Božju	A	ADJ	_	_	božji	2[1451]	Božja volja[1451]	NID[1451]	U ovom kontekstu, 'Božja volja' označava želju ili nameru Boga, a ne vanrednu i neizbežnu pojavu koja prekida tok događanja, pa nijedno ponuđeno značenje nije odgovarajuće.[2008]	http://llod.jerteh.rs/WSD/seENG3007315350n[2008]	1[2008]	FIRST	ENG30-07315350-n[2008]	
19-6	31-36	volju	N	NOUN	_	_	volja	2[1451]	Božja volja[1451]	NID[1451]	U ovom kontekstu, 'Božja volja' označava želju ili nameru Boga, a ne vanrednu i neizbežnu pojavu koja prekida tok događanja, pa nijedno ponuđeno značenje nije odgovarajuće.[2008]	http://llod.jerteh.rs/WSD/seENG3007315350n[2008]	1[2008]	FIRST	ENG30-07315350-n[2008]	
19-7	36-37	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Od 1935. radio je u privatnoj bakteriološkoj laboratoriji koju je nešto ranije osnovao.
20-1	37-39	Od	PREP	ADP	_	_	od	_	_	_	_	_	_	_	_	
20-2	40-45	1935.	A	ADJ	_	_	1935.	_	_	_	_	_	_	_	_	
20-3	46-51	radio	V	VERB	_	_	raditi	_	_	_	U ovom kontekstu, 'radio je u privatnoj bakteriološkoj laboratoriji' znači da je osoba obavljala posao na određenom mestu i u određenoj specijalnosti, što najpreciznije odgovara ovom značenju.	http://llod.jerteh.rs/WSD/seENG3002594979v	12	ChatGPT	ENG30-01525666-v;ENG30-01526290-v;ENG30-01742821-v;ENG30-02367363-v;ENG30-02410855-v;ENG30-02413480-v;ENG30-02436963-v;ENG30-02458822-v;ENG30-02525447-v;ENG30-02594979-v;ENG30-02676054-v;ENG30-02751271-v	
20-4	52-54	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
20-5	55-56	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
20-6	57-66	privatnoj	A	ADJ	_	_	privatan	_	_	_	U ovom kontekstu, 'privatna laboratorija' znači da laboratorija nije državna ili javna, već je u privatnom vlasništvu, što se ne poklapa sa ponuđenim značenjem koje se odnosi na lične ili intimne stvari.	http://llod.jerteh.rs/WSD/seENG3001769378a	1	FIRST	ENG30-01769378-a	
20-7	67-81	bakteriološkoj	A	ADJ	_	_	bakteriološki	_	_	_	U ovom kontekstu, 'bakteriološkoj' opisuje laboratoriju koja se bavi bakteriologijom, što je u skladu sa značenjem 'od ili u vezi sa bakteriologijom'.	http://llod.jerteh.rs/WSD/seENG3002914740a	1	ChatGPT	ENG30-02914740-a	
20-8	82-94	laboratoriji	N	NOUN	_	_	laboratorija	_	_	_	U ovom kontekstu, 'laboratorija' označava mesto gde se sprovode naučna istraživanja iz oblasti bakteriologije, što se precizno poklapa sa ponuđenim značenjem.	http://llod.jerteh.rs/WSD/seENG3003629986n	1	ChatGPT	ENG30-03629986-n	
20-9	95-99	koju	PRO	DET	_	_	koji	_	_	_	_	_	_	_	_	
20-10	100-102	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
20-11	103-108	nešto	ADV	ADV	_	_	nešto	_	_	_	U ovom kontekstu, 'nešto' označava neodređenost vremena kada je laboratorija osnovana, tj. ne precizira se tačan trenutak, već samo da je to bilo u nekom neodređenom, ranijem periodu.	http://llod.jerteh.rs/WSD/seDRJ0207427\_1г.	16	ChatGPT	DRJ0-207427/0;DRJ0-207427/1;DRJ0-207427/1а.;DRJ0-207427/1б.;DRJ0-207427/1в.;DRJ0-207427/1г.;DRJ0-207427/1д.;DRJ0-207427/1ђ.;DRJ0-207427/2;DRJ0-207427/3;DRJ0-207427/4;DRJ0-207427/4а.;DRJ0-207427/4б.;DRJ0-207427/4в.;DRJ0-207427/4г.;DRJ0-207427/4д.	
20-12	109-115	ranije	ADV	ADV	_	_	ranije	_	_	_	U ovom kontekstu, 'ranije' znači 'prethodno', odnosno laboratorija je osnovana pre nego što je počeo da radi u njoj, što najpreciznije odgovara ovom značenju.	http://llod.jerteh.rs/WSD/seENG3000060939b	5	ChatGPT	ENG30-00060632-b;ENG30-00060939-b;ENG30-00074201-b;ENG30-00118965-b;ENG30-00167286-b	
20-13	116-123	osnovao	V	VERB	_	_	osnovati	_	_	_	U ovom kontekstu, 'osnovao' znači da je osoba uspostavila ili pokrenula bakteriološku laboratoriju, što se najpreciznije poklapa sa značenjem 'uspostaviti ili osnovati'.	http://llod.jerteh.rs/WSD/seENG3002427103v	4	ChatGPT	ENG30-00636888-v;ENG30-01647672-v;ENG30-02427103-v;ENG30-02448185-v	
20-14	123-124	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=U nekim slučajevima sunčeva svetlost ga može ublažiti, posebno na čelu.
21-1	124-125	U	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
21-2	126-131	nekim	PRO	DET	_	_	neki	_	_	_	_	_	_	_	_	
21-3	132-143	slučajevima	N	NOUN	_	_	slučaj	_	_	_	U ovom kontekstu, 'slučajevi' se odnosi na primere situacija u kojima sunčeva svetlost može ublažiti nešto, što najpreciznije odgovara značenju 'primer nečega'.	http://llod.jerteh.rs/WSD/seENG3007308889n	7	ChatGPT	ENG30-06649426-n;ENG30-06784966-n;ENG30-07300960-n;ENG30-07308889-n;ENG30-09898892-n;ENG30-13766436-n;ENG30-13943400-n	
21-4	144-151	sunčeva	A	ADJ	_	_	sunčev	_	_	_	U ovom kontekstu, 'sunčeva' označava svetlost koja potiče od Sunca, što se precizno poklapa sa datim značenjem.	http://llod.jerteh.rs/WSD/seLLM0364	1	ChatGPT	LLM-0364	
21-5	152-160	svetlost	N	NOUN	_	_	svetlost	_	_	_	U ovom kontekstu, 'svetlost' se odnosi na fizičko elektromagnetno zračenje koje dolazi od Sunca i ima uticaj na kožu, što je u skladu sa ovim značenjem.	http://llod.jerteh.rs/WSD/seENG3011473954n	4	ChatGPT	ENG30-04951373-n;ENG30-04953380-n;ENG30-11473954-n;ENG30-13983304-n	
21-6	161-163	ga	PRO	PRON	_	_	on	_	_	_	_	_	_	_	_	
21-7	164-168	može	V	VERB	_	_	moći	_	_	_	U ovom kontekstu, 'može' označava mogućnost ili sposobnost da se nešto desi, a ne istrajavanje ili uspevanje, pa ponuđeno značenje nije odgovarajuće.	http://llod.jerteh.rs/WSD/seENG3002523221v	1	FIRST	ENG30-02523221-v	
21-8	169-177	ublažiti	V	VERB	_	_	ublažiti	_	_	_	U ovom kontekstu, 'ublažiti' znači smanjiti intenzitet nečega (verovatno fleke, ožiljka ili simptoma na čelu), što odgovara značenju 'smanjiti intenzitet ili smiriti se'.	http://llod.jerteh.rs/WSD/seENG3001815185v	3	ChatGPT	ENG30-00064095-v;ENG30-00161987-v;ENG30-01815185-v	
21-9	177-178	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
21-10	179-186	posebno	ADV	ADV	_	_	posebno	_	_	_	U ovom kontekstu, 'posebno' znači da se nešto dešava za razliku od drugih slučajeva, tj. sunčeva svetlost ublažava stanje naročito na čelu, a ne na drugim delovima tela.	http://llod.jerteh.rs/WSD/seENG3000041758b	4	ChatGPT	ENG30-00041758-b;ENG30-00084223-b;ENG30-00207668-b;ENG30-00248765-b	
21-11	187-189	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	
21-12	190-194	čelu	N	NOUN	_	_	čelo	_	_	_	U ovom kontekstu, 'čelo' se odnosi na deo lica iznad očiju, jer se govori o uticaju sunčeve svetlosti na taj deo tela.	http://llod.jerteh.rs/WSD/seENG3005602548n	3	ChatGPT	ENG30-02992211-n;ENG30-05602548-n;ENG30-08663354-n	
21-13	194-195	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=El Kamil je pristao na osmogodišnji mirovni sporazum sa Evropom.
24-1	195-197	El	F	X	http://www.wikidata.org/entity/Q293464[545]	PERS[545]	El	_	_	_	_	_	_	_	_	
24-2	198-203	Kamil	N	PROPN	http://www.wikidata.org/entity/Q293464[545]	PERS[545]	Kamil	_	_	_	_	_	_	_	_	
24-3	204-206	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
