#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Comment|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=Pobednika su izabrala deca koja su uoči Foruma učestvovala u globalnom glasanju održanom u sve 24 zemlje učesnice.
243-1	0-9	Pobednika	N	NOUN	_	_	pobednik	_	_	_	*	simple_wsd - ENG30-09762821-n:0.9329::osoba sa uspehom - ENG30-09906704-n:0.7590::neko ko je osvojio prvo mesto na takmičenju - ENG30-10782940-n:0.6682::takmičar koji pobedi na takmičenju	http://llod.jerteh.rs/WSD/seENG3009762821n	3	simple_wsd_tesla	ENG30-09762821-n;ENG30-09906704-n;ENG30-10782940-n	
243-2	10-12	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
243-3	13-21	izabrala	V	VERB	_	_	izabrati	_	_	_	*	simple_wsd - ENG30-00679937-v:0.8197::smatrati prikladnim ili ispravnim da se deluje na određeni način; odlučiti da se deluje na određeni način - ENG30-00676864-v:0.7754::Napraviti izbor - ENG30-00790308-v:0.7187::koristiti točkić za izbor broja telefona	http://llod.jerteh.rs/WSD/seENG3000679937v	5	simple_wsd_tesla	ENG30-00676450-v;ENG30-00676864-v;ENG30-00679937-v;ENG30-00790308-v;ENG30-01078050-v	
243-4	22-26	deca	N	NOUN	_	_	deca	_	_	_	*	simple_wsd - ENG30-09917593-n:0.6309::Mlada osoba bilo kog pola (između rođenja i puberteta). - DRS0-457358/0.0:0.5361::ljudi u ranom uzrastu života; sinovi i kćeri u odnosu na roditelje; mlade osobe koje još nisu odrasle. - DRS0-457359/0.0:0.3921::zb. im. od dete.	http://llod.jerteh.rs/WSD/seENG3009917593n	3	simple_wsd_tesla	DRS0-457358/0.0;DRS0-457359/0.0;ENG30-09917593-n	
243-5	27-31	koja	PRO	DET	_	_	koji	_	_	_	_	_	_	_	_	_	
243-6	32-34	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
243-7	35-39	uoči	PREP	ADP	_	_	uoči	_	_	_	_	_	_	_	_	_	
243-8	40-46	Foruma	N	NOUN	_	_	forum	_	_	_	*	simple_wsd - ENG30-02749953-n:0.6889::javni sastanak ili skupština na kojoj se otvoreno raspravlja	http://llod.jerteh.rs/WSD/seENG3002749953n	1	simple_wsd_tesla	ENG30-02749953-n	
243-9	47-58	učestvovala	V	VERB	_	_	učestvovati	_	_	_	*	simple_wsd - ENG30-01082606-v:0.8465::postati učesnik; biti uključen u šta - ENG30-02375131-v:0.7314::Izvršiti aktivnost ili uzeti učešće; biti uključen. - ENG30-02450256-v:0.6881::uzeti, uzimati učešća u nekoj zajedničkoj akciji, sudelovati	http://llod.jerteh.rs/WSD/seENG3001082606v	3	simple_wsd_tesla	ENG30-01082606-v;ENG30-02375131-v;ENG30-02450256-v	
243-10	59-60	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	_	
243-11	61-70	globalnom	A	ADJ	_	_	globalan	_	_	_	*	simple_wsd - CV0175:0.8626::ukupno, celovito uzet, celokupan, sveobuhvatan, zaokružen - ENG30-01568684-a:0.8166::koji uključuje celu Zemlju, ceo svet; nije ograničenog ni provencijskog dometa	http://llod.jerteh.rs/WSD/seCV0175	2	simple_wsd_tesla	CV0175;ENG30-01568684-a	
