#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Ainotes


#Text=U petoj sezoni program je održan u skladu sa novim konceptom: jedan mladi fudbaler iz svake zemlje izabran je kao njen predstavnik.
1-1	0-1	U	PREP	ADP	_	_	u	_	_	_	_	_	_	_	
1-2	2-7	petoj	A	ADJ	_	_	peti	_	_	_	ENG30-02202712-a	1	ENG30-02202712-a	Reč 'peti' se koristi da označi redni broj sezone, što znači da dolazi posle četvrte i pre šeste sezone.	
1-3	8-14	sezoni	N	NOUN	_	_	sezona	_	_	_	ENG30-15239579-n	1	ENG30-15239579-n	U ovom kontekstu, 'sezona' se odnosi na period emitovanja televizijskog programa, što se uklapa u značenje koje se odnosi na period aktivnosti u nekom polju.	
1-4	15-22	program	N	NOUN	_	_	program	_	_	_	ENG30-06619428-n	4	ENG30-03962685-n;ENG30-06568978-n;ENG30-06619428-n;ENG30-06676416-n	U ovom kontekstu, 'program' se odnosi na seriju događaja ili emisiju, što je u skladu sa značenjem emisije na radiju ili televiziji.	
1-5	23-25	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
1-6	26-32	održan	V	VERB	_	_	održati	_	_	_	ENG30-02679899-v	4	ENG30-00118523-v;ENG30-02202928-v;ENG30-02280132-v;ENG30-02679899-v	U ovom kontekstu, 'održan' znači da je program nastavio da postoji i da se odvijao, ostajući u skladu sa novim konceptom. Značenje 4 najbolje odgovara jer se fokusira na održavanje nečega u nepromenjenom stanju ili trajanju.	
1-7	33-34	u	PREP	ADP	_	_	u	1[729]	u skladu sa[729]	AdpID[729]	LLM-0288[2000]	1[2000]	LLM-0288[2000]	Izraz 'u skladu sa' u ovom kontekstu znači 'prema' ili 'u skladu sa' novim konceptom, što se odnosi na način na koji je program organizovan.[2000]	
1-8	35-41	skladu	N	NOUN	_	_	sklad	1[729]	u skladu sa[729]	AdpID[729]	LLM-0288[2000]	1[2000]	LLM-0288[2000]	Izraz 'u skladu sa' u ovom kontekstu znači 'prema' ili 'u skladu sa' novim konceptom, što se odnosi na način na koji je program organizovan.[2000]	
1-9	42-44	sa	PREP	ADP	_	_	sa	1[729]	u skladu sa[729]	AdpID[729]	LLM-0288[2000]	1[2000]	LLM-0288[2000]	Izraz 'u skladu sa' u ovom kontekstu znači 'prema' ili 'u skladu sa' novim konceptom, što se odnosi na način na koji je program organizovan.[2000]	
1-10	45-50	novim	A	ADJ	_	_	nov	_	_	_	ENG30-02070491-a	6	ENG30-00418198-a;ENG30-00820975-a;ENG30-00821208-a;ENG30-01640850-a;ENG30-01687167-a;ENG30-02070491-a	U ovom kontekstu, 'novi' se odnosi na drugačiji koncept u poređenju sa prethodnim sezonama programa.	
1-11	51-60	konceptom	N	NOUN	_	_	koncept	_	_	_	ENG30-03179318-n	3	ENG30-03179318-n;ENG30-05835747-n;ENG30-06390962-n	U ovom kontekstu, 'koncept' se odnosi na plan ili ideju za novu sezonu programa, što odgovara značenju preliminarne skice.	
1-12	60-61	:	PUNCT	PUNCT	_	_	:	_	_	_	_	_	_	_	
1-13	62-67	jedan	NUM	NUM	_	_	jedan	_	_	_	_	_	_	_	
1-14	68-73	mladi	A	ADJ	_	_	mlad	_	_	_	ENG30-01674464-a	2	ENG30-00818008-a;ENG30-01674464-a	Značenje 'u ranom stadijumu života' se odnosi na fudbalere koji su još uvek u ranim godinama svoje karijere, što je u skladu sa kontekstom.	
1-15	74-82	fudbaler	N	NOUN	http://www.wikidata.org/entity/Q937857	ROLE	fudbaler	_	_	_	ENG30-10618342-n	2	ENG30-10101634-n;ENG30-10618342-n	U ovom kontekstu, 'fudbaler' se odnosi na sportistu koji igra fudbal, što je u skladu sa značenjem definisanim u ID-u ENG30-10618342-n.	
1-16	83-85	iz	PREP	ADP	_	_	iz	_	_	_	_	_	_	_	
1-17	86-91	svake	PRO	DET	_	_	svaki	_	_	_	_	_	_	_	
