#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|KBid


#Text=Uglavnom predlažemo prekid njihove dalje proizvodnje i početak uklanjanja svih zaliha na Zemlji.
52-1	0-8	Uglavnom	ADV	ADV	_	_	uglavnom	_	_	_	http://example.org/lexicon/seENG3000073897b	
52-2	9-19	predlažemo	V	VERB	_	_	predlagati	_	_	_	http://example.org/lexicon/seENG3000879356v	
52-3	20-26	prekid	N	NOUN	_	_	prekid	_	_	_	http://example.org/lexicon/seENG3000383952n	
52-4	27-34	njihove	PRO	DET	_	_	njihov	_	_	_	_	
52-5	35-40	dalje	A	ADJ	_	_	dalji	_	_	_	http://example.org/lexicon/seENG3000443988a	
52-6	41-52	proizvodnje	N	NOUN	_	_	proizvodnja	_	_	_	http://example.org/lexicon/seENG3000912960n	
52-7	53-54	i	CONJ	CCONJ	_	_	i	_	_	_	_	
52-8	55-62	početak	N	NOUN	_	_	početak	_	_	_	http://example.org/lexicon/seENG3000235435n	
52-9	63-73	uklanjanja	N	NOUN	_	_	uklanjanje	_	_	_	http://example.org/lexicon/seENG3000391599n	
52-10	74-78	svih	PRO	DET	_	_	sav	_	_	_	_	
52-11	79-85	zaliha	N	NOUN	_	_	zaliha	_	_	_	http://example.org/lexicon/seENG3013777344n	
52-12	86-88	na	PREP	ADP	_	_	na	_	_	_	_	
52-13	89-95	Zemlji	N	PROPN	http://www.wikidata.org/entity/Q2	LOC	Zemlja	_	_	_	_	
52-14	95-96	.	SENT	PUNCT	_	_	.	_	_	_	_	

#Text=Sovjetski narod dobro zna koliko je rat užasan.
53-1	96-105	Sovjetski	A	ADJ	_	_	sovjetski	_	_	_	http://example.org/lexicon/seENG3002959406a	
53-2	106-111	narod	N	NOUN	_	_	narod	_	_	_	http://example.org/lexicon/seENG3008166552n	
53-3	112-117	dobro	ADV	ADV	_	_	dobro	_	_	_	http://example.org/lexicon/seENG3000015007b	
53-4	118-121	zna	V	VERB	_	_	znati	_	_	_	http://example.org/lexicon/seENG3000594621v	
53-5	122-128	koliko	ADV	ADV	_	_	koliko	_	_	_	http://example.org/lexicon/seENG3000111546b	
53-6	129-131	je	V	AUX	_	_	jesam	_	_	_	_	
53-7	132-135	rat	N	NOUN	_	_	rat	_	_	_	http://example.org/lexicon/seENG3000973077n	
53-8	136-142	užasan	A	ADJ	_	_	užasan	_	_	_	http://example.org/lexicon/seENG3001513050a	
53-9	142-143	.	SENT	PUNCT	_	_	.	_	_	_	_	

#Text=Poljoprivreda je prilično ograničena, budući da je samo 2 % zemljišta obradivo i hrana se većinom uvozi.
54-1	143-156	Poljoprivreda	N	NOUN	_	_	poljoprivreda	_	_	_	http://example.org/lexicon/seENG3000916464n	
54-2	157-159	je	V	AUX	_	_	jesam	_	_	_	_	
54-3	160-168	prilično	ADV	ADV	_	_	prilično	_	_	_	http://example.org/lexicon/seENG3000018781b	
54-4	169-179	ograničena	A	ADJ	_	_	ograničen	_	_	_	http://example.org/lexicon/seENG3001007258a	
54-5	179-180	,	PUNCT	PUNCT	_	_	,	_	_	_	_	
54-6	181-187	budući	V	VERB	_	_	biti	1[759]	budući da[759]	ConjID[759]	http://example.org/lexicon/seLLM0023[2510]	
54-7	188-190	da	CONJ	SCONJ	_	_	da	1[759]	budući da[759]	ConjID[759]	http://example.org/lexicon/seLLM0023[2510]	
54-8	191-193	je	V	AUX	_	_	jesam	_	_	_	_	
54-9	194-198	samo	ADV	ADV	_	_	samo	_	_	_	http://example.org/lexicon/seENG3000004722b	
54-10	199-200	2	NUM	NUM	_	_	2	_	_	_	_	
54-11	201-202	%	PUNCT	SYM	_	_	%	_	_	_	_	
54-12	203-212	zemljišta	N	NOUN	_	_	zemljište	_	_	_	http://example.org/lexicon/seENG3013250048n	
54-13	213-221	obradivo	A	ADJ	_	_	obradiv	_	_	_	http://example.org/lexicon/seENG3001865807a	
54-14	222-223	i	CONJ	CCONJ	_	_	i	_	_	_	_	
54-15	224-229	hrana	N	NOUN	_	_	hrana	_	_	_	http://example.org/lexicon/seENG3007570720n	
54-16	230-232	se	PAR	PART	_	_	se	_	_	_	_	
54-17	233-240	većinom	ADV	ADV	_	_	većinom	_	_	_	http://example.org/lexicon/seENG3000073897b	
54-18	241-246	uvozi	V	VERB	_	_	uvoziti	_	_	_	http://example.org/lexicon/seENG3002232722v	
54-19	246-247	.	SENT	PUNCT	_	_	.	_	_	_	_	

#Text=Prvi drveni slavoluk podignut je u žurbi, nakon sticanja nezavisnosti Rumunije (1878), kako bi pobedničke trupe mogle da prođu ispod njega.
55-1	247-251	Prvi	A	ADJ	_	_	prvi	_	_	_	http://example.org/lexicon/seENG3001012855a	
55-2	252-258	drveni	A	ADJ	_	_	drven	_	_	_	http://example.org/lexicon/seENG3002576489a	
55-3	259-267	slavoluk	N	NOUN	_	_	slavoluk	_	_	_	http://example.org/lexicon/seENG3004486054n	
55-4	268-276	podignut	V	VERB	_	_	podignuti	_	_	_	http://example.org/lexicon/seENG3001546768v	
55-5	277-279	je	V	AUX	_	_	jesam	_	_	_	_	
55-6	280-281	u	PREP	ADP	_	_	u	1[760]	u žurbi[760]	AdvID[760]	http://example.org/lexicon/seCVMWE0466[2511]	
55-7	282-287	žurbi	N	NOUN	_	_	žurba	1[760]	u žurbi[760]	AdvID[760]	http://example.org/lexicon/seCVMWE0466[2511]	
55-8	287-288	,	PUNCT	PUNCT	_	_	,	_	_	_	_	
55-9	289-294	nakon	PREP	ADP	_	_	nakon	_	_	_	_	
55-10	295-303	sticanja	N	NOUN	_	_	sticanje	_	_	_	http://example.org/lexicon/seENG3000077419n	
55-11	304-316	nezavisnosti	N	NOUN	_	_	nezavisnost	_	_	_	http://example.org/lexicon/seENG3014001213n	
55-12	317-325	Rumunije	N	PROPN	http://www.wikidata.org/entity/Q218	LOC	Rumunija	_	_	_	_	
55-13	326-327	(	PUNCT	PUNCT	_	_	(	_	_	_	_	
55-14	327-331	1878	A	ADJ	_	_	1878	_	_	_	http://example.org/lexicon/seNEW_SENSE	
55-15	331-332	)	PUNCT	PUNCT	_	_	)	_	_	_	_	
55-16	332-333	,	PUNCT	PUNCT	_	_	,	_	_	_	_	
55-17	334-338	kako	CONJ	SCONJ	_	_	kako	_	_	_	_	
55-18	339-341	bi	V	AUX	_	_	biti	_	_	_	_	
55-19	342-352	pobedničke	A	ADJ	_	_	pobednički	_	_	_	http://example.org/lexicon/seENG3002337480a	
55-20	353-358	trupe	N	NOUN	_	_	trupa	_	_	_	http://example.org/lexicon/seNEW_SENSE	
55-21	359-364	mogle	V	VERB	_	_	moći	_	_	_	http://example.org/lexicon/seNEW_SENSE	
55-22	365-367	da	CONJ	SCONJ	_	_	da	_	_	_	_	
55-23	368-373	prođu	V	VERB	_	_	proći	_	_	_	http://example.org/lexicon/seENG3001227675v	
55-24	374-379	ispod	PREP	ADP	_	_	ispod	_	_	_	_	
55-25	380-385	njega	PRO	PRON	_	_	on	_	_	_	_	
55-26	385-386	.	SENT	PUNCT	_	_	.	_	_	_	_	

#Text=Detalji ovog procesa zavise od količine i vrste materije u univerzumu.
56-1	386-393	Detalji	N	NOUN	_	_	detalj	_	_	_	http://example.org/lexicon/seENG3006751142n	
56-2	394-398	ovog	PRO	DET	_	_	ovaj	_	_	_	_	
