Sentence	Token	Sentence index	Token index	First Model NEW_SENSE	Second Model NEW_SENSE
U petoj sezoni program je održan u skladu sa novim konceptom: jedan mladi fudbaler iz svake zemlje izabran je kao njen predstavnik.	program	1.0	4.0	True	False
U petoj sezoni program je održan u skladu sa novim konceptom: jedan mladi fudbaler iz svake zemlje izabran je kao njen predstavnik.	izabran	1.0	19.0	False	False
U petoj sezoni program je održan u skladu sa novim konceptom: jedan mladi fudbaler iz svake zemlje izabran je kao njen predstavnik.	predstavnik	1.0	23.0	False	False
Poznati fudbaleri, među kojima i srpski defanzivac Branislav Ivanović i holandski napadač Dirk Kojt, učestvovali su u raznim događajima širom sveta.	raznim	3.0	20.0	False	False
Poznati fudbaleri, među kojima i srpski defanzivac Branislav Ivanović i holandski napadač Dirk Kojt, učestvovali su u raznim događajima širom sveta.	događajima	3.0	21.0	False	False
Više od 7000 ljudi otišlo je na premijeru filma u Damasku.	otišlo	4.0	5.0	False	False
Kulminacija je bila ceremonija dodele Kupa devet vrednosti (Nine Values Cup), koji je osvojio fudbalski klub Barselona.	Kulminacija	5.0	1.0	True	False
Kulminacija je bila ceremonija dodele Kupa devet vrednosti (Nine Values Cup), koji je osvojio fudbalski klub Barselona.	klub	5.0	19.0	True	False
U junu 2014, kao vođa pokreta, posetio je deveti međunarodni omladinski fudbalski turnir organizovan u znak sećanja na Jurija Andrejeviča Morozova.	kao	6.0	5.0	False	False
U junu 2014, kao vođa pokreta, posetio je deveti međunarodni omladinski fudbalski turnir organizovan u znak sećanja na Jurija Andrejeviča Morozova.	organizovan	6.0	16.0	False	False
U junu 2014, kao vođa pokreta, posetio je deveti međunarodni omladinski fudbalski turnir organizovan u znak sećanja na Jurija Andrejeviča Morozova.	sećanja	6.0	19.0	False	False
Dan fudbala i prijateljstva (Day of Football and Friendship) obeležen je u Nižnjem Novgorodu i Kazanju.	Dan	7.0	1.0	False	False
Dan fudbala i prijateljstva (Day of Football and Friendship) obeležen je u Nižnjem Novgorodu i Kazanju.	prijateljstva	7.0	4.0	False	False
Dan fudbala i prijateljstva (Day of Football and Friendship) obeležen je u Nižnjem Novgorodu i Kazanju.	obeležen	7.0	12.0	False	False
Rezultat druge sezone programa bio je izbor lidera pokreta Fudbal za prijateljstvo (Football for Friendship, F4F).	izbor	8.0	7.0	False	False
Rezultat druge sezone programa bio je izbor lidera pokreta Fudbal za prijateljstvo (Football for Friendship, F4F).	Fudbal	8.0	10.0	False	False
Rezultat druge sezone programa bio je izbor lidera pokreta Fudbal za prijateljstvo (Football for Friendship, F4F).	prijateljstvo	8.0	12.0	False	False
Rusiju je predstavljalo 11 fudbalskih timova iz 11 ruskih gradova koji će biti domaćini utakmica Svetskog prvenstva FIFA 2018.	predstavljalo	11.0	3.0	False	False
Rusiju je predstavljalo 11 fudbalskih timova iz 11 ruskih gradova koji će biti domaćini utakmica Svetskog prvenstva FIFA 2018.	domaćini	11.0	14.0	False	False
Članovi svake političke grupe se sastaju pre velikih sastanaka kako bi usvojili zajedničke stavove.	grupe	14.0	4.0	False	False
Članovi svake političke grupe se sastaju pre velikih sastanaka kako bi usvojili zajedničke stavove.	velikih	14.0	8.0	False	False
Članovi svake političke grupe se sastaju pre velikih sastanaka kako bi usvojili zajedničke stavove.	usvojili	14.0	12.0	False	False
Članovi svake političke grupe se sastaju pre velikih sastanaka kako bi usvojili zajedničke stavove.	zajedničke	14.0	13.0	False	False
Oni su javna tela kojima je data odgovornost da se bave određenim elementima primene zakonodavstva unutrašnjeg tržišta.	javna	15.0	3.0	False	False
Oni su javna tela kojima je data odgovornost da se bave određenim elementima primene zakonodavstva unutrašnjeg tržišta.	data	15.0	7.0	False	False
Oni su javna tela kojima je data odgovornost da se bave određenim elementima primene zakonodavstva unutrašnjeg tržišta.	odgovornost	15.0	8.0	False	False
Oni su javna tela kojima je data odgovornost da se bave određenim elementima primene zakonodavstva unutrašnjeg tržišta.	određenim	15.0	12.0	False	False
Evropska unija stoga ne bi trebala da preuzima zadatke koji su prikladniji za nacionalne, regionalne ili lokalne uprave.	prikladniji	16.0	12.0	False	False
Evropska unija stoga ne bi trebala da preuzima zadatke koji su prikladniji za nacionalne, regionalne ili lokalne uprave.	nacionalne	16.0	14.0	False	False
Pristup sadržaju imaju samo nadležni organi koji su direktno uključeni u razmenu informacija.	uključeni	17.0	10.0	False	False
Generalnog sekretara imenuje Biro na pet godina.	imenuje	18.0	3.0	False	False
Generalnog sekretara imenuje Biro na pet godina.	godina	18.0	7.0	True	False
Na ovaj dan održane su prijateljske utakmice, fleš mobovi, radio maratoni, master klasovi, televizijske emisije, slobodni treninzi i sl.	dan	19.0	3.0	False	False
Tom događaju u Grčkoj je prisustvovao Teodoras Zagorakis, pobednik Evropskog prvenstva u fudbalu 2004, zajedno sa nacionalnim timom svoje zemlje.	fudbalu	20.0	14.0	False	False
Tom događaju u Grčkoj je prisustvovao Teodoras Zagorakis, pobednik Evropskog prvenstva u fudbalu 2004, zajedno sa nacionalnim timom svoje zemlje.	zemlje	20.0	22.0	False	False
Cilj programa je da kroz fudbal neguje kod mlađe generacije osnovne vrednosti i interesovanje za zdrav način života.	Cilj	21.0	1.0	False	False
Cilj programa je da kroz fudbal neguje kod mlađe generacije osnovne vrednosti i interesovanje za zdrav način života.	programa	21.0	2.0	True	False
Cilj programa je da kroz fudbal neguje kod mlađe generacije osnovne vrednosti i interesovanje za zdrav način života.	osnovne	21.0	11.0	False	False
