#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Comment|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=Tehnološki faktori podrazumevaju tehnološke aspekte, kao što su aktivnosti istraživanja i razvoja, automatizacija, tehnološki podsticaji i stopa tehnoloških promena.
1-1	0-10	Tehnološki	A	ADJ	_	_	tehnološki	_	_	_	*	simple_wsd - ENG30-02809692-a:0.9729::Koji se odnosi na praktičan predmet koji je organizovan po naučnim principima. - ENG30-02084979-a:0.8300::zasnovano na naučnom i industrijskom napretku	http://llod.jerteh.rs/WSD/seENG3002809692a	2	tesla_wsd	ENG30-02084979-a;ENG30-02809692-a	
1-2	11-18	faktori	N	NOUN	_	_	faktor	_	_	_	*	simple_wsd - ENG30-05436752-n:0.8838::(genetika) segment DNK koji je uključen u proizvodnju polipeptidnog lanca; može uključivati regione koji prethode i sle… - ENG30-07327805-n:0.8371::Bilo šta što uzročno doprinosi rezultatu. - ENG30-10461424-n:0.8337::Neko ko poseduje ili primenjuje silu, uticaj ili autoritet.	http://llod.jerteh.rs/WSD/seENG3005436752n	3	tesla_wsd	ENG30-05436752-n;ENG30-07327805-n;ENG30-10461424-n	
1-3	19-32	podrazumevaju	V	VERB	_	_	podrazumevati	_	_	_	*	simple_wsd - ENG30-00930599-v:0.8942::nagovestiti, predlagati, kao logički neophodnu posledicu; u logici - ENG30-02635189-v:0.7439::imati kao logičnu posledicu - ENG30-02634808-v:0.5152::nametnuti, uključiti ili implicirati kao neophodnu pratnju ili rezultat	http://llod.jerteh.rs/WSD/seENG3000930599v	3	tesla_wsd	ENG30-00930599-v;ENG30-02634808-v;ENG30-02635189-v	
1-4	33-43	tehnološke	A	ADJ	_	_	tehnološki	_	_	_	*	simple_wsd - ENG30-02809692-a:0.9125::Koji se odnosi na praktičan predmet koji je organizovan po naučnim principima. - ENG30-02084979-a:0.8063::zasnovano na naučnom i industrijskom napretku	http://llod.jerteh.rs/WSD/seENG3002809692a	2	tesla_wsd	ENG30-02084979-a;ENG30-02809692-a	
1-5	44-51	aspekte	N	NOUN	_	_	aspekt	_	_	_	*	simple_wsd - ENG30-05852553-n:0.8808::aspekt nečega (u suprotnosti sa nekim drugim podrazumevanim aspektom) - ENG30-05850624-n:0.8287::Određena karakteristika ili element u problemu. - ENG30-04733118-n:0.8019::karakteristika koja se treba uzeti u obzir	http://llod.jerteh.rs/WSD/seENG3005852553n	5	tesla_wsd	ENG30-04733118-n;ENG30-05850624-n;ENG30-05852553-n;ENG30-05852973-n;ENG30-13804669-n	
1-6	51-52	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	_	
1-7	53-56	kao	CONJ	SCONJ	_	_	kao	1[6]	kao što[6]	ConjID[6]	*[14]	simple_wsd - LLM-0091:0.8384::Veznik koji uvodi poređenje ili primer; na način kao.[2000]	http://llod.jerteh.rs/WSD/seLLM0091[2000]	1[2000]	tesla_wsd	LLM-0091[2000]	
1-8	57-60	što	CONJ	SCONJ	_	_	što	1[6]	kao što[6]	ConjID[6]	*[14]	simple_wsd - LLM-0091:0.8384::Veznik koji uvodi poređenje ili primer; na način kao.[2000]	http://llod.jerteh.rs/WSD/seLLM0091[2000]	1[2000]	tesla_wsd	LLM-0091[2000]	
1-9	61-63	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
1-10	64-74	aktivnosti	N	NOUN	_	_	aktivnost	_	_	_	*	simple_wsd - ENG30-00407535-n:0.7845::Bilo koji poseban čin. - ENG30-14006945-n:0.7806::Stanje u kome je neko aktivan.	http://llod.jerteh.rs/WSD/seENG3000407535n	2	tesla_wsd	ENG30-00407535-n;ENG30-14006945-n	
