#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Comment|Ainotes


#Text=U petoj sezoni program je održan u skladu sa novim konceptom: jedan mladi fudbaler iz svake zemlje izabran je kao njen predstavnik.
1-1	0-1	U	PREP	ADP	_	_	u	_	_	_	_	0	_	_	_	
1-2	2-7	petoj	A	ADJ	_	_	peti	_	_	_	ENG30-02202712-a	1	ENG30-02202712-a	*	Ovdje se 'peti' koristi kao redni broj koji označava položaj u nizu, što se slaže sa datim značenjem.	
1-3	8-14	sezoni	N	NOUN	_	_	sezona	_	_	_	ENG30-15239579-n	1	ENG30-15239579-n	*	Ovo značenje se odnosi na period godine koji je vezan za posebne događaje ili aktivnosti, što se uklapa u kontekst rečenice gde se sezona odnosi na period u kome se odvija program.	
1-4	15-22	program	N	NOUN	_	_	program	_	_	_	ENG30-06676416-n	4	ENG30-03962685-n;ENG30-06568978-n;ENG30-06619428-n;ENG30-06676416-n	CV	U kontekstu rečenice, 'program' se odnosi na plan ili shemu aktivnosti, što najbliže odgovara značenju akademskog programa kao integriranog skupa studija ili aktivnosti.	
1-5	23-25	je	V	AUX	_	_	jesam	_	_	_	_	0	_	_	_	
1-6	26-32	održan	V	VERB	_	_	održati	_	_	_	ENG30-02280132-v	4	ENG30-00118523-v;ENG30-02202928-v;ENG30-02280132-v;ENG30-02679899-v	CV	U kontekstu rečenice, 'održan' se odnosi na održavanje programa u skladu sa novim konceptom, što znači čuvati ili održavati u određenom stanju.	
1-7	33-34	u	PREP	ADP	_	_	u	1[187]	u skladu sa[187]	AdpID[187]	LLM-0288[2000]	1[2000]	LLM-0288[2000]	*[451]	Izraz 'u skladu sa' se koristi za označavanje usklađenosti ili harmonije između dva elementa, što se potpuno poklapa sa datim kontekstom koji opisuje odnos između programa i novog koncepta.[2000]	
1-8	35-41	skladu	N	NOUN	_	_	sklad	1[187]	u skladu sa[187]	AdpID[187]	LLM-0288[2000]	1[2000]	LLM-0288[2000]	*[451]	Izraz 'u skladu sa' se koristi za označavanje usklađenosti ili harmonije između dva elementa, što se potpuno poklapa sa datim kontekstom koji opisuje odnos između programa i novog koncepta.[2000]	
1-9	42-44	sa	PREP	ADP	_	_	sa	1[187]	u skladu sa[187]	AdpID[187]	LLM-0288[2000]	1[2000]	LLM-0288[2000]	*[451]	Izraz 'u skladu sa' se koristi za označavanje usklađenosti ili harmonije između dva elementa, što se potpuno poklapa sa datim kontekstom koji opisuje odnos između programa i novog koncepta.[2000]	
1-10	45-50	novim	A	ADJ	_	_	nov	_	_	_	ENG30-02070491-a	6	ENG30-00418198-a;ENG30-00820975-a;ENG30-00821208-a;ENG30-01640850-a;ENG30-01687167-a;ENG30-02070491-a	*	Kontekst sugerira da je došlo do promene u konceptu programa, te da je novo uvedeno kao drugačije od prethodnog.	
