#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Comment|Ainotes


#Text=Tehnološki faktori podrazumevaju tehnološke aspekte, kao što su aktivnosti istraživanja i razvoja, automatizacija, tehnološki podsticaji i stopa tehnoloških promena.
1-1	0-10	Tehnološki	A	ADJ	_	_	tehnološki	_	_	_	ENG30-02809692-a	2	ENG30-02084979-a;ENG30-02809692-a	*	simple_wsd - ENG30-02809692-a:0.8926::Koji se odnosi na praktičan predmet koji je organizovan po naučnim principima. - ENG30-02084979-a:0.7414::zasnovano na naučnom i industrijskom napretku	
1-2	11-18	faktori	N	NOUN	_	_	faktor	_	_	_	ENG30-05436752-n	3	ENG30-05436752-n;ENG30-07327805-n;ENG30-10461424-n	*	simple_wsd - ENG30-05436752-n:0.8496::(genetika) segment DNK koji je uključen u proizvodnju polipeptidnog lanca; može uključivati regione koji prethode i sle… - ENG30-10461424-n:0.8018::Neko ko poseduje ili primenjuje silu, uticaj ili autoritet. - ENG30-07327805-n:0.2372::Bilo šta što uzročno doprinosi rezultatu.	
1-3	19-32	podrazumevaju	V	VERB	_	_	podrazumevati	_	_	_	ENG30-00930599-v	3	ENG30-00930599-v;ENG30-02634808-v;ENG30-02635189-v	*	simple_wsd - ENG30-00930599-v:0.9175::nagovestiti, predlagati, kao logički neophodnu posledicu; u logici - ENG30-02634808-v:0.8263::nametnuti, uključiti ili implicirati kao neophodnu pratnju ili rezultat - ENG30-02635189-v:0.8187::imati kao logičnu posledicu	
1-4	33-43	tehnološke	A	ADJ	_	_	tehnološki	_	_	_	ENG30-02809692-a	2	ENG30-02084979-a;ENG30-02809692-a	*	simple_wsd - ENG30-02809692-a:0.9009::Koji se odnosi na praktičan predmet koji je organizovan po naučnim principima. - ENG30-02084979-a:0.7520::zasnovano na naučnom i industrijskom napretku	
1-5	44-51	aspekte	N	NOUN	_	_	aspekt	_	_	_	ENG30-04733118-n	5	ENG30-04733118-n;ENG30-05850624-n;ENG30-05852553-n;ENG30-05852973-n;ENG30-13804669-n	*	simple_wsd - ENG30-04733118-n:0.9718::karakteristika koja se treba uzeti u obzir - ENG30-05850624-n:0.8657::Određena karakteristika ili element u problemu. - ENG30-13804669-n:0.6747::dužina ili tip vremenske aktivnosti označene glagolom	
1-6	51-52	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
1-7	53-56	kao	CONJ	SCONJ	_	_	kao	1[6]	kao što[6]	ConjID[6]	LLM-0091[2000]	1[2000]	LLM-0091[2000]	*[14]	simple_wsd - LLM-0091:0.6653::Veznik koji uvodi poređenje ili primer; na način kao.[2000]	
1-8	57-60	što	CONJ	SCONJ	_	_	što	1[6]	kao što[6]	ConjID[6]	LLM-0091[2000]	1[2000]	LLM-0091[2000]	*[14]	simple_wsd - LLM-0091:0.6653::Veznik koji uvodi poređenje ili primer; na način kao.[2000]	
1-9	61-63	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
1-10	64-74	aktivnosti	N	NOUN	_	_	aktivnost	_	_	_	ENG30-00407535-n	2	ENG30-00407535-n;ENG30-14006945-n	*	simple_wsd - ENG30-00407535-n:0.8935::nešto što osoba ili grupa radi ili je uradila - ENG30-14006945-n:0.1599::Stanje u kome je neko aktivan.	
1-11	75-87	istraživanja	N	NOUN	_	_	istraživanje	_	_	_	ENG30-00644503-n	7	ENG30-00310063-n;ENG30-00633864-n;ENG30-00636728-n;ENG30-00636921-n;ENG30-00644503-n;ENG30-00945777-n;ENG30-00947041-n	*	simple_wsd - ENG30-00644503-n:0.7584::detaljan kritički pregled - ENG30-00633864-n:0.7527::Rad koji istražuje nešto sistematski i iscrpno. - ENG30-00636728-n:0.7227::sistematsko istraživanje pitanja od javnog interesa	
1-12	88-89	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
1-13	90-97	razvoja	N	NOUN	_	_	razvoj	_	_	_	ENG30-00250259-n	4	ENG30-00250259-n;ENG30-07324917-n;ENG30-07423560-n;ENG30-13464820-n	*	simple_wsd - ENG30-00250259-n:0.8711::Čin poboljšavanje širenjem, povećavanjem ili profinjavanjem. - ENG30-07324917-n:0.3630::rast snage, broja ili važnosti - ENG30-13464820-n:0.3621::Proces u kome nešto postepeno prelazi u drugo stanje, posebno u naprednije ili zrelije stanje.	
1-14	97-98	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
1-15	99-113	automatizacija	N	NOUN	_	_	automatizacija	_	_	_	ENG30-00102457-n	1	ENG30-00102457-n	*	simple_wsd - ENG30-00102457-n:0.9444::čin sprovođenja kontrole opreme sa naprednom tehnologijom; obično uključuje elektronski hardver	
1-16	113-114	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
1-17	115-125	tehnološki	A	ADJ	_	_	tehnološki	_	_	_	ENG30-02809692-a	2	ENG30-02084979-a;ENG30-02809692-a	*	simple_wsd - ENG30-02809692-a:0.9084::Koji se odnosi na praktičan predmet koji je organizovan po naučnim principima. - ENG30-02084979-a:0.7581::zasnovano na naučnom i industrijskom napretku	
1-18	126-136	podsticaji	N	NOUN	_	_	podsticaj	_	_	_	ENG30-01214746-n	3	ENG30-01214746-n;ENG30-05827684-n;ENG30-09179776-n	*	simple_wsd - ENG30-01214746-n:0.8649::čin iskrene podrške ili podsticanja - ENG30-05827684-n:0.8319::bilo koji podsticajan podatak ili događaj; dela koja pobuđuju akciju - ENG30-09179776-n:0.7594::pozitivan motivacioni uticaj	
1-19	137-138	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
1-20	139-144	stopa	N	NOUN	_	_	stopa	_	_	_	ENG30-13816649-n	4	ENG30-06645039-n;ENG30-13325010-n;ENG30-13650045-n;ENG30-13816649-n	*	simple_wsd - ENG30-13816649-n:0.5342::Veličina ili frekvencija, relativno u odnosu na jedinicu vremena. - ENG30-13325010-n:0.5208::iznos naknade ili plaćanja u odnosu na neku osnovu - ENG30-13650045-n:0.3757::Dužinska jedinica koja iznosi 12 inča ili trećinu jarde.	
1-21	145-156	tehnoloških	A	ADJ	_	_	tehnološki	_	_	_	ENG30-02809692-a	2	ENG30-02084979-a;ENG30-02809692-a	*	simple_wsd - ENG30-02809692-a:0.9082::Koji se odnosi na praktičan predmet koji je organizovan po naučnim principima. - ENG30-02084979-a:0.7616::zasnovano na naučnom i industrijskom napretku	
1-22	157-164	promena	N	NOUN	_	_	promena	_	_	_	ENG30-13803782-n	6	ENG30-00191142-n;ENG30-00331655-n;ENG30-07296428-n;ENG30-11412727-n;ENG30-13803782-n;ENG30-13859043-n	*	simple_wsd - ENG30-13803782-n:0.6365::promena forme reči (često putem dodavanja sufiksa) kojom se označava promena u njenoj gramatičkoj funkciji - ENG30-00191142-n:0.6025::Radnja promene nečega. - ENG30-00331655-n:0.6004::čin kretanja sa jednog mesta na drugo	
1-23	164-165	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Austrijske pretenzije na te nemačke države su bez izuzetka odbačene.
2-1	165-175	Austrijske	A	ADJ	*	DEMO	austrijski	_	_	_	ENG30-02961099-a	1	ENG30-02961099-a	*	simple_wsd - ENG30-02961099-a:0.4494::Koji se tiče Austrije, njenih stanovnika i kulture	
2-2	176-186	pretenzije	N	NOUN	_	_	pretenzija	_	_	_	DRJ0-216951/0	1	DRJ0-216951/0	*	simple_wsd - DRJ0-216951/0:0.8031::težnja, ambicija, polaganje prava na nešto.	
2-3	187-189	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	
2-4	190-192	te	PRO	DET	_	_	taj	_	_	_	_	_	_	_	_	
2-5	193-200	nemačke	A	ADJ	*	DEMO	nemački	_	_	_	ENG30-02957469-a	2	ENG30-02957469-a;ENG30-06950528-n	*	simple_wsd - ENG30-02957469-a:0.7738::koji se tiče Nemačke, njenih ljudi ili kulture - ENG30-06950528-n:0.4525::standardni nemački jezik; istorijski je nastao od zapadnogermanskog	
2-6	201-207	države	N	NOUN	_	_	država	_	_	_	ENG30-08544813-n	3	ENG30-08168978-n;ENG30-08178547-n;ENG30-08544813-n	*	simple_wsd - ENG30-08544813-n:0.7685::Teritorija koju zauzima narod. - ENG30-08178547-n:0.6638::Grupa ljudi koji čine vlast suverene države. - ENG30-08168978-n:0.5496::Politička organizacija ljudi koji su pod jednom vladom.	
2-7	208-210	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
2-8	211-214	bez	PREP	ADP	_	_	bez	1[7]	bez izuzetka[7]	AdvID[7]	LLM-0016[2001]	1[2001]	LLM-0016[2001]	*[15]	simple_wsd - LLM-0016:0.4361::Uvek, svaki put; bez odstupanja od pravila.[2001]	
2-9	215-223	izuzetka	N	NOUN	_	_	izuzetak	1[7]	bez izuzetka[7]	AdvID[7]	LLM-0016[2001]	1[2001]	LLM-0016[2001]	*[15]	simple_wsd - LLM-0016:0.4361::Uvek, svaki put; bez odstupanja od pravila.[2001]	
2-10	224-232	odbačene	V	VERB	_	_	odbaciti	_	_	_	ENG30-00685683-v	10	ENG30-00555780-v;ENG30-00614999-v;ENG30-00685683-v;ENG30-00687181-v;ENG30-00796976-v;ENG30-00800930-v;ENG30-00807178-v;ENG30-00814850-v;ENG30-02222318-v;ENG30-02502916-v	*	simple_wsd - ENG30-00685683-v:0.9027::Ne pristati na prihvatanje ili priznanje nečega. - ENG30-00807178-v:0.8900::smatrati pogrešnim ili neprikladnim - ENG30-02222318-v:0.8660::Baciti ili odbaciti.	
2-11	232-233	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=AH-1 je bio okosnica flote jurišnih helikoptera američke vojske, ali ga je u vojnoj službi zamenio AH-64 Apač.
3-1	233-237	AH-1	ABB	X	http://www.wikidata.org/entity/Q927610	PRODUCT	AH-1	_	_	_	_	_	_	_	_	
3-2	238-240	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
3-3	241-244	bio	V	AUX	_	_	biti	_	_	_	_	_	_	_	_	
3-4	245-253	okosnica	N	NOUN	_	_	okosnica	_	_	_	ENG30-04226537-n	1	ENG30-04226537-n	*	simple_wsd - ENG30-04226537-n:0.4497::unutrašnja noseća struktura koja objektu daje oblik	
3-5	254-259	flote	N	NOUN	_	_	flota	_	_	_	ENG30-08293336-n	3	ENG30-08292756-n;ENG30-08293336-n;ENG30-08293831-n	*	simple_wsd - ENG30-08293336-n:0.5789::Grupa parnih brodova koji prevoze za istog vlasnika ili su pod istom komandom. - ENG30-08293831-n:0.5390::Grupa vazduhoplova pod istim vlasništvom ili istom komandom. - ENG30-08292756-n:0.2930::Grupa ratnih brodova koja se organizuje kao taktička jedinica	
3-6	260-268	jurišnih	A	ADJ	_	_	jurišni	1[8]	jurišni helikopter[8]	NID[8]	CVMWE-0168[2002]	1[2002]	CVMWE-0168[2002]	*[16]	simple_wsd - CVMWE-0168:0.5479::naoružani helikopter sa primarnom ulogom jurišne letelice, sa ofanzivnom sposobnošću da gađa kopnene ciljeve kao što s…[2002]	
3-7	269-280	helikoptera	N	NOUN	_	_	helikopter	1[8]	jurišni helikopter[8]	NID[8]	CVMWE-0168[2002]	1[2002]	CVMWE-0168[2002]	*[16]	simple_wsd - CVMWE-0168:0.5479::naoružani helikopter sa primarnom ulogom jurišne letelice, sa ofanzivnom sposobnošću da gađa kopnene ciljeve kao što s…[2002]	
3-8	281-289	američke	A	ADJ	*	DEMO	američki	_	_	_	ENG30-02927512-a	1	ENG30-02927512-a	*	simple_wsd - ENG30-02927512-a:0.5159::O Sjedinjenim Američkim Državama ili koji se odnosi na SAD	
3-9	290-296	vojske	N	NOUN	_	_	vojska	_	_	_	ENG30-08199025-n	3	ENG30-01206986-n;ENG30-08191230-n;ENG30-08199025-n	*	simple_wsd - ENG30-08199025-n:0.6054::Vojne snage jedne države. - ENG30-08191230-n:0.4716::Organizacija vojnih kopnenih snaga. - ENG30-01206986-n:0.3649::Vremenski period proveden u vojnoj službi.	
3-10	296-297	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
3-11	298-301	ali	CONJ	CCONJ	_	_	ali	_	_	_	_	_	_	_	_	
3-12	302-304	ga	PRO	PRON	_	_	on	_	_	_	_	_	_	_	_	
3-13	305-307	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
3-14	308-309	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
