#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Ainotes


#Text=Taj bod podelili su na jednake delove vozači koji su imali isti najbrži krug.
2-1	0-3	Taj	PRO	DET	_	_	taj	_	_	_	_	_	_	_	
2-2	4-7	bod	N	NOUN	_	_	bod	_	_	_	http://llod.jerteh.rs/WSD/seENG3004321238n	1	ENG30-04321238-n	Nijedno ponuđeno značenje ne odgovara jer se ovde 'bod' odnosi na poen ili rezultat u sportskom takmičenju, a ne na tehniku vezenja.	
2-3	8-16	podelili	V	VERB	_	_	podeliti	_	_	_	http://llod.jerteh.rs/WSD/seENG3000642098v	7	ENG30-00642098-v;ENG30-01063930-v;ENG30-01563724-v;ENG30-02031158-v;ENG30-02201644-v;ENG30-02255268-v;ENG30-02294436-v	U ovom kontekstu, 'podeliti' znači izvršiti operaciju deljenja jednog boda na jednake delove između više vozača, što najpreciznije odgovara ovom značenju.	
2-4	17-19	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
2-5	20-22	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	
2-6	23-30	jednake	A	ADJ	_	_	jednak	_	_	_	http://llod.jerteh.rs/WSD/seENG3001411065a	2	ENG30-00744506-a;ENG30-01411065-a	U ovom kontekstu, 'jednake' se odnosi na to da su delovi na koje je bod podeljen bili iste količine ili vrednosti za svakog vozača.	
2-7	31-37	delove	N	NOUN	_	_	deo	_	_	_	http://llod.jerteh.rs/WSD/seENG3001085098n	7	ENG30-01085098-n;ENG30-03892891-n;ENG30-05867413-n;ENG30-05868954-n;ENG30-08548733-n;ENG30-09385911-n;ENG30-13289159-n	U ovom kontekstu, 'delovi' se odnosi na rezultat deljenja jednog boda na jednake delove među vozačima, što odgovara značenju 'rezultat parcelisanja ili deljenja'.	
2-8	38-44	vozači	N	NOUN	http://www.wikidata.org/entity/Q352388	ROLE	vozač	_	_	_	http://llod.jerteh.rs/WSD/seENG3010034906n	1	ENG30-10034906-n	U ovom kontekstu, 'vozači' se odnosi na osobe koje upravljaju motornim vozilima, konkretno u trkačkom okruženju, što odgovara ponuđenom značenju.	
2-9	45-49	koji	PRO	DET	_	_	koji	_	_	_	_	_	_	_	
2-10	50-52	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
