#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Comment|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=U petoj sezoni program je održan u skladu sa novim konceptom: jedan mladi fudbaler iz svake zemlje izabran je kao njen predstavnik.
1-1	0-1	U	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	_	
1-2	2-7	petoj	A	ADJ	_	_	peti	_	_	_	*	simple_wsd - ENG30-02202712-a:0.7562::dolazi odmah posle četvrtog i neposredno pre šestog u položaju	http://llod.jerteh.rs/WSD/seENG3002202712a	1	simple_wsd_tesla	ENG30-02202712-a	
1-3	8-14	sezoni	N	NOUN	_	_	sezona	_	_	_	*	simple_wsd - ENG30-15239579-n:0.3633::period godine koji označavaju posebni događaji ili aktivnosti u nekom polju	http://llod.jerteh.rs/WSD/seENG3015239579n	1	simple_wsd_tesla	ENG30-15239579-n	
1-4	15-22	program	N	NOUN	_	_	program	_	_	_	CV	simple_wsd - ENG30-00551215-n:0.8444::javni nastup ili niz javnih nastupa (sportskih, muzičkih,...) - ENG30-06676416-n:0.7431::integrirani program akademskih studija - ENG30-06619428-n:0.6886::emisija na radiju ili televiziji	http://llod.jerteh.rs/WSD/seENG3000551215n	7	simple_wsd_tesla	ENG30-00551215-n;ENG30-03962685-n;ENG30-05898568-n;ENG30-05899087-n;ENG30-06568978-n;ENG30-06619428-n;ENG30-06676416-n	
1-5	23-25	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
1-6	26-32	održan	V	VERB	_	_	održati	_	_	_	CV	simple_wsd - ENG30-02408965-v:0.7095::primeniti na način koji je u skladu sa svrhom ili sa zamisli - ENG30-00118523-v:0.5520::produžiti postojanje na duži vremenski period - ENG30-02280132-v:0.4875::čuvati na sigurnom i zaštititi od štete, propadanja, gubitka ili uništenja	http://llod.jerteh.rs/WSD/seENG3002408965v	7	simple_wsd_tesla	ENG30-00118523-v;ENG30-00339934-v;ENG30-01733477-v;ENG30-02202928-v;ENG30-02280132-v;ENG30-02408965-v;ENG30-02679899-v	
1-7	33-34	u	PREP	ADP	_	_	u	1[187]	u skladu sa[187]	AdpID[187]	*[451]	simple_wsd - LLM-0288:0.5377::U harmoniji sa; prema nečemu; saglasno nečemu.[2000]	http://llod.jerteh.rs/WSD/seLLM0288[2000]	1[2000]	simple_wsd_tesla	LLM-0288[2000]	
1-8	35-41	skladu	N	NOUN	_	_	sklad	1[187]	u skladu sa[187]	AdpID[187]	*[451]	simple_wsd - LLM-0288:0.5377::U harmoniji sa; prema nečemu; saglasno nečemu.[2000]	http://llod.jerteh.rs/WSD/seLLM0288[2000]	1[2000]	simple_wsd_tesla	LLM-0288[2000]	
1-9	42-44	sa	PREP	ADP	_	_	sa	1[187]	u skladu sa[187]	AdpID[187]	*[451]	simple_wsd - LLM-0288:0.5377::U harmoniji sa; prema nečemu; saglasno nečemu.[2000]	http://llod.jerteh.rs/WSD/seLLM0288[2000]	1[2000]	simple_wsd_tesla	LLM-0288[2000]	
1-10	45-50	novim	A	ADJ	_	_	nov	_	_	_	*	simple_wsd - ENG30-02070491-a:0.7668::Koji se razlikuje, koji nije isti kao prethodni - ENG30-01640850-a:0.6824::Nešto što ne traje dugo; nešto što je upravo postalo, nastalo, otkriveno ili prihvaćeno. - ENG30-00820975-a:0.5863::koji se koristi za živi jezik i predstavlja trenutnu fazu u njegovom razvoju	http://llod.jerteh.rs/WSD/seENG3002070491a	6	simple_wsd_tesla	ENG30-00418198-a;ENG30-00820975-a;ENG30-00821208-a;ENG30-01640850-a;ENG30-01687167-a;ENG30-02070491-a	
