#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Comment|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=Zatim se imenuje izvestilac koji će sastaviti mišljenje Komiteta.
1-1	0-5	Zatim	ADV	ADV	_	_	zatim	_	_	_	*	simple_wsd - ENG30-00061203-b:0.4975::događa se u vreme koje sledi nakon referentnog vremena - ENG30-00117903-b:0.0830::tada	http://llod.jerteh.rs/WSD/seENG3000061203b	2	simple_wsd	ENG30-00061203-b;ENG30-00117903-b	
1-2	6-8	se	PAR	PART	_	_	se	_	_	_	_	_	_	_	_	_	
1-3	9-16	imenuje	V	VERB	_	_	imenovati	_	_	_	*	simple_wsd - ENG30-00945853-v:0.6098::napraviti ili sastaviti popis; imenovati pojedinačno; navesti imena - ENG30-02391803-v:0.5822::Dati mesto ili zadatak nekome. - ENG30-02476385-v:0.5622::upisati novo zvanje, dužnost ili čin	http://llod.jerteh.rs/WSD/seENG3000945853v	11	simple_wsd	ENG30-00645552-v;ENG30-00879540-v;ENG30-00945853-v;ENG30-01026095-v;ENG30-01030132-v;ENG30-02391803-v;ENG30-02396205-v;ENG30-02396716-v;ENG30-02401523-v;ENG30-02475922-v;ENG30-02476385-v	
1-4	17-27	izvestilac	N	NOUN	*	ROLE	izvestilac	_	_	_	*	simple_wsd - ENG30-10507565-n:0.6475::zapisničar koji je imenovan od strane odbora da pripremi izveštaje sa sastanaka	http://llod.jerteh.rs/WSD/seENG3010507565n	1	simple_wsd	ENG30-10507565-n	
1-5	28-32	koji	PRO	DET	_	_	koji	_	_	_	_	_	_	_	_	_	
1-6	33-35	će	V	AUX	_	_	hteti	_	_	_	_	_	_	_	_	_	
1-7	36-45	sastaviti	V	VERB	_	_	sastaviti	_	_	_	*	simple_wsd - ENG30-01656788-v:0.6857::napraviti sastavljanjem iz delova - ENG30-01626138-v:0.6028::skupiti zajedno od postojećih stvari - ENG30-01297624-v:0.5186::povezati zajedno	http://llod.jerteh.rs/WSD/seENG3001656788v	6	simple_wsd	ENG30-00261957-v;ENG30-01297624-v;ENG30-01387786-v;ENG30-01626138-v;ENG30-01656788-v;ENG30-01690816-v	
1-8	46-55	mišljenje	N	NOUN	_	_	mišljenje	_	_	_	*	simple_wsd - ENG30-05945642-n:0.6641::Lična verovanja i stavovi koji se ne zasnivaju na dokazu ili izvesnosti. - ENG30-06782019-n:0.5737::poruka koja izražava uverenje o nečemu; izraz uverenja koje se drži sa sigurnošću, ali nije potkrijepljeno pozitivnim z… - ENG30-06606808-n:0.5015::kratka verzija suštinskog značenja nečega	http://llod.jerteh.rs/WSD/seENG3005945642n	4	simple_wsd	ENG30-05837850-n;ENG30-05945642-n;ENG30-06606808-n;ENG30-06782019-n	
1-9	56-64	Komiteta	N	NOUN	_	_	komitet	_	_	_	*	simple_wsd - DRJ0-195880/0b.:0.4973::rukovodeće telo, forum neke političke partije (obično komunističke), organizacije; zgrada toga foruma. - DRJ0-195880/0a.:0.4443::izborni organ koji deluje u ime neke organizacije, zajednice i sl.; rukovodeći organ neke ustanove s posebnim funkcijam…	http://llod.jerteh.rs/WSD/seDRJ0195880_0b.	2	simple_wsd	DRJ0-195880/0a.;DRJ0-195880/0b.	
1-10	64-65	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

