#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Ainotes


#Text=AH-1 je bio okosnica flote jurišnih helikoptera američke vojske, ali ga je u vojnoj službi zamenio AH-64 Apač.
3-1	0-4	AH-1	ABB	X	http://www.wikidata.org/entity/Q927610	PRODUCT	AH-1	_	_	_	_	_	_	_	
3-2	5-7	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
3-3	8-11	bio	V	AUX	_	_	biti	_	_	_	_	_	_	_	
3-4	12-20	okosnica	N	NOUN	_	_	okosnica	_	_	_	http://llod.jerteh.rs/WSD/seENG3004226537n	1	ENG30-04226537-n	U ovom kontekstu, 'okosnica' se koristi metaforički za nešto što je glavna podrška ili najvažniji deo nečega, što odgovara značenju unutrašnje noseće strukture koja daje oblik ili podršku.	
3-5	21-26	flote	N	NOUN	_	_	flota	_	_	_	http://llod.jerteh.rs/WSD/seENG3008293336n	1	ENG30-08293336-n	U ovom kontekstu, 'flota' se odnosi na grupu vojnih helikoptera, a ne na parne brodove, pa nijedno ponuđeno značenje nije primenjivo.	
3-6	27-35	jurišnih	A	ADJ	_	_	jurišni	1[1667]	jurišni helikopter[1667]	NID[1667]	http://llod.jerteh.rs/WSD/seCVMWE0168[2002]	1[2002]	CVMWE-0168[2002]	U kontekstu se govori o helikopterima koji su naoružani i koriste se za napad na kopnene ciljeve, što precizno odgovara definiciji jurišnog helikoptera iz ponuđenog značenja.[2002]	
3-7	36-47	helikoptera	N	NOUN	_	_	helikopter	1[1667]	jurišni helikopter[1667]	NID[1667]	http://llod.jerteh.rs/WSD/seCVMWE0168[2002]	1[2002]	CVMWE-0168[2002]	U kontekstu se govori o helikopterima koji su naoružani i koriste se za napad na kopnene ciljeve, što precizno odgovara definiciji jurišnog helikoptera iz ponuđenog značenja.[2002]	
3-8	48-56	američke	A	ADJ	*	DEMO	američki	_	_	_	http://llod.jerteh.rs/WSD/seENG3002927512a	1	ENG30-02927512-a	U ovom kontekstu, 'američke' se odnosi na vojsku Sjedinjenih Američkih Država, što precizno odgovara značenju 'o Sjedinjenim Američkim Državama ili koji se odnosi na SAD'.	
3-9	57-63	vojske	N	NOUN	_	_	vojska	_	_	_	http://llod.jerteh.rs/WSD/seENG3008191230n	3	ENG30-01206986-n;ENG30-08191230-n;ENG30-08199025-n	U ovom kontekstu, 'vojska' se odnosi na organizaciju vojnih kopnenih snaga, jer se govori o floti jurišnih helikoptera američke vojske, što implicira kopnenu vojsku (Army), a ne sve vojne snage države.	
3-10	63-64	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	
3-11	65-68	ali	CONJ	CCONJ	_	_	ali	_	_	_	_	_	_	_	
3-12	69-71	ga	PRO	PRON	_	_	on	_	_	_	_	_	_	_	
3-13	72-74	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
3-14	75-76	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	
3-15	77-83	vojnoj	A	ADJ	_	_	vojni	_	_	_	http://llod.jerteh.rs/WSD/seENG3001545149a	2	ENG30-01545149-a;ENG30-02764251-a	U ovom kontekstu, 'vojni' opisuje službu koja je karakteristična za vojsku, odnosno službu u okviru oružanih snaga, što odgovara prvom značenju.	
