#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Comment|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=Ipak, nastavio je da radi na esperantu sve dok nije umro od srčanog udara 1921. godine.
1-1	0-4	Ipak	PAR	PART	_	_	ipak	_	_	_	_	_	_	_	_	_	
1-2	4-5	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	_	
1-3	6-14	nastavio	V	VERB	_	_	nastaviti	_	_	_	*	simple_wsd - ENG30-02684924-v:0.8733::Nastaviti određeno stanje, uslov ili aktivnost. - ENG30-02618001-v:0.8349::biti ili nastaviti biti u određenom stanju - ENG30-01995549-v:0.8314::može se koristiti i u vremenskom smislu	http://llod.jerteh.rs/WSD/seENG3002684924v	8	tesla_wsd	ENG30-00118523-v;ENG30-00350104-v;ENG30-01992503-v;ENG30-01995549-v;ENG30-02618001-v;ENG30-02679899-v;ENG30-02684924-v;ENG30-02747709-v	
1-4	15-17	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
1-5	18-20	da	CONJ	SCONJ	_	_	da	_	_	_	_	_	_	_	_	_	
1-6	21-25	radi	V	VERB	_	_	raditi	_	_	_	*	simple_wsd - ENG30-02594979-v:0.9716::raditi na određenom mestu, u određenoj oblasti ili u određenoj specijalnosti - ENG30-02525447-v:0.9437::imati efekat ili ishod; često onaj željeni ili očekivani - ENG30-02413480-v:0.8677::Činiti umni ili fizički rad s nekim ciljem ili iz potrebe.	http://llod.jerteh.rs/WSD/seENG3002594979v	12	tesla_wsd	ENG30-01525666-v;ENG30-01526290-v;ENG30-01742821-v;ENG30-02367363-v;ENG30-02410855-v;ENG30-02413480-v;ENG30-02436963-v;ENG30-02458822-v;ENG30-02525447-v;ENG30-02594979-v;ENG30-02676054-v;ENG30-02751271-v	
1-7	26-28	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	_	
1-8	29-38	esperantu	N	NOUN	_	_	esperanto	_	_	_	*	simple_wsd - ENG30-06895791-n:0.8126::veštački jezik koji se temelji što je više moguće na rečima zajedničkim za sve evropske jezike	http://llod.jerteh.rs/WSD/seENG3006895791n	1	tesla_wsd	ENG30-06895791-n	
1-9	39-42	sve	ADV	ADV	_	_	sve	1[205]	sve dok[205]	ConjID[205]	*[444]	simple_wsd - LLM-0255:0.9679::Veznik koji uvodi vremensku podređenu rečenicu; dok god; sve do momenta kada.[2000]	http://llod.jerteh.rs/WSD/seLLM0255[2000]	1[2000]	tesla_wsd	LLM-0255[2000]	
1-10	43-46	dok	CONJ	SCONJ	_	_	dok	1[205]	sve dok[205]	ConjID[205]	*[444]	simple_wsd - LLM-0255:0.9679::Veznik koji uvodi vremensku podređenu rečenicu; dok god; sve do momenta kada.[2000]	http://llod.jerteh.rs/WSD/seLLM0255[2000]	1[2000]	tesla_wsd	LLM-0255[2000]	
