#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|KBid


#Text=Nekoliko godina kasnije (1906) objavio je svoj Słownik chemiczny, prvi poljski hemijski rečnik.
51-1	0-8	Nekoliko	ADV	ADV	_	_	nekoliko	_	_	_	http://example.org/lexicon/seDRJ0206395\_2	
51-2	9-15	godina	N	NOUN	_	_	godina	_	_	_	http://example.org/lexicon/seENG3015203791n	
51-3	16-23	kasnije	ADV	ADV	_	_	kasnije	_	_	_	http://example.org/lexicon/seENG3000061203b	
51-4	24-25	(	PUNCT	PUNCT	_	_	(	_	_	_	_	
51-5	25-29	1906	A	ADJ	_	_	1906	_	_	_	http://example.org/lexicon/seNEW_SENSE	
51-6	29-30	)	PUNCT	PUNCT	_	_	)	_	_	_	_	
51-7	31-38	objavio	V	VERB	_	_	objaviti	_	_	_	http://example.org/lexicon/seENG3000967625v	
51-8	39-41	je	V	AUX	_	_	jesam	_	_	_	_	
51-9	42-46	svoj	PRO	DET	_	_	svoj	_	_	_	_	
51-10	47-54	Słownik	F	X	*[35]	WORK[35]	Słownik	_	_	_	_	
51-11	55-64	chemiczny	F	X	*[35]	WORK[35]	chemiczny	_	_	_	_	
51-12	64-65	,	PUNCT	PUNCT	_	_	,	_	_	_	_	
51-13	66-70	prvi	A	ADJ	_	_	prvi	_	_	_	http://example.org/lexicon/seENG3001012855a	
51-14	71-78	poljski	A	ADJ	http://www.wikidata.org/entity/Q809	DEMO	poljski	_	_	_	http://example.org/lexicon/seENG3002961258a	
51-15	79-87	hemijski	A	ADJ	_	_	hemijski	_	_	_	http://example.org/lexicon/seENG3002692624a	
51-16	88-94	rečnik	N	NOUN	_	_	rečnik	_	_	_	http://example.org/lexicon/seENG3006418901n	
51-17	94-95	.	SENT	PUNCT	_	_	.	_	_	_	_	

#Text=Uglavnom predlažemo prekid njihove dalje proizvodnje i početak uklanjanja svih zaliha na Zemlji.
52-1	95-103	Uglavnom	ADV	ADV	_	_	uglavnom	_	_	_	http://example.org/lexicon/seENG3000073897b	
52-2	104-114	predlažemo	V	VERB	_	_	predlagati	_	_	_	http://example.org/lexicon/seENG3000879356v	
52-3	115-121	prekid	N	NOUN	_	_	prekid	_	_	_	http://example.org/lexicon/seENG3000383952n	
52-4	122-129	njihove	PRO	DET	_	_	njihov	_	_	_	_	
52-5	130-135	dalje	A	ADJ	_	_	dalji	_	_	_	http://example.org/lexicon/seENG3000443988a	
52-6	136-147	proizvodnje	N	NOUN	_	_	proizvodnja	_	_	_	http://example.org/lexicon/seENG3000912960n	
52-7	148-149	i	CONJ	CCONJ	_	_	i	_	_	_	_	
52-8	150-157	početak	N	NOUN	_	_	početak	_	_	_	http://example.org/lexicon/seENG3000235435n	
52-9	158-168	uklanjanja	N	NOUN	_	_	uklanjanje	_	_	_	http://example.org/lexicon/seENG3000391599n	
52-10	169-173	svih	PRO	DET	_	_	sav	_	_	_	_	
52-11	174-180	zaliha	N	NOUN	_	_	zaliha	_	_	_	http://example.org/lexicon/seENG3013777344n	
52-12	181-183	na	PREP	ADP	_	_	na	_	_	_	_	
52-13	184-190	Zemlji	N	PROPN	http://www.wikidata.org/entity/Q2	LOC	Zemlja	_	_	_	_	
52-14	190-191	.	SENT	PUNCT	_	_	.	_	_	_	_	

#Text=Sovjetski narod dobro zna koliko je rat užasan.
53-1	191-200	Sovjetski	A	ADJ	_	_	sovjetski	_	_	_	http://example.org/lexicon/seENG3002959406a	
53-2	201-206	narod	N	NOUN	_	_	narod	_	_	_	http://example.org/lexicon/seENG3008166552n	
53-3	207-212	dobro	ADV	ADV	_	_	dobro	_	_	_	http://example.org/lexicon/seENG3000015007b	
53-4	213-216	zna	V	VERB	_	_	znati	_	_	_	http://example.org/lexicon/seENG3000594621v	
53-5	217-223	koliko	ADV	ADV	_	_	koliko	_	_	_	http://example.org/lexicon/seENG3000111546b	
53-6	224-226	je	V	AUX	_	_	jesam	_	_	_	_	
53-7	227-230	rat	N	NOUN	_	_	rat	_	_	_	http://example.org/lexicon/seENG3000973077n	
53-8	231-237	užasan	A	ADJ	_	_	užasan	_	_	_	http://example.org/lexicon/seENG3001513050a	
53-9	237-238	.	SENT	PUNCT	_	_	.	_	_	_	_	

#Text=Poljoprivreda je prilično ograničena, budući da je samo 2 % zemljišta obradivo i hrana se većinom uvozi.
54-1	238-251	Poljoprivreda	N	NOUN	_	_	poljoprivreda	_	_	_	http://example.org/lexicon/seENG3000916464n	
54-2	252-254	je	V	AUX	_	_	jesam	_	_	_	_	
54-3	255-263	prilično	ADV	ADV	_	_	prilično	_	_	_	http://example.org/lexicon/seENG3000018781b	
54-4	264-274	ograničena	A	ADJ	_	_	ograničen	_	_	_	http://example.org/lexicon/seENG3001007258a	
54-5	274-275	,	PUNCT	PUNCT	_	_	,	_	_	_	_	
54-6	276-282	budući	V	VERB	_	_	biti	1[759]	budući da[759]	ConjID[759]	http://example.org/lexicon/seLLM0023[2500]	
54-7	283-285	da	CONJ	SCONJ	_	_	da	1[759]	budući da[759]	ConjID[759]	http://example.org/lexicon/seLLM0023[2500]	
54-8	286-288	je	V	AUX	_	_	jesam	_	_	_	_	
54-9	289-293	samo	ADV	ADV	_	_	samo	_	_	_	http://example.org/lexicon/seENG3000004722b	
54-10	294-295	2	NUM	NUM	_	_	2	_	_	_	_	
54-11	296-297	%	PUNCT	SYM	_	_	%	_	_	_	_	
54-12	298-307	zemljišta	N	NOUN	_	_	zemljište	_	_	_	http://example.org/lexicon/seENG3013250048n	
