#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Comment|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=Pobednika su izabrala deca koja su uoči Foruma učestvovala u globalnom glasanju održanom u sve 24 zemlje učesnice.
243-1	0-9	Pobednika	N	NOUN	_	_	pobednik	_	_	_	*	U kontekstu globalnog glasanja bira se pobednik kao onaj ko zauzima prvo mesto među učesnicima. Dakle, označava osobu koja je osvojila prvo mesto na takmičenju/izboru.	http://llod.jerteh.rs/WSD/seENG3009906704n	3	gpt-5	ENG30-09762821-n;ENG30-09906704-n;ENG30-10782940-n	
243-2	10-12	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
243-3	13-21	izabrala	V	VERB	_	_	izabrati	_	_	_	*	U kontekstu globalnog glasanja, deca su napravila izbor pobednika. Ovo odgovara opštem značenju 'napraviti izbor'.	http://llod.jerteh.rs/WSD/seENG3000676864v	5	gpt-5	ENG30-00676450-v;ENG30-00676864-v;ENG30-00679937-v;ENG30-00790308-v;ENG30-01078050-v	
243-4	22-26	deca	N	NOUN	_	_	deca	_	_	_	*	U kontekstu znači ‘deca’ kao mlade osobe koje još nisu odrasle i koje su učestvovale u glasanju. Ovo je standardno značenje reči ‘deca’ u ovakvim društvenim kontekstima.	http://llod.jerteh.rs/WSD/seDRS0457358_0.0	3	gpt-5	DRS0-457358/0.0;DRS0-457359/0.0;ENG30-09917593-n	
243-5	27-31	koja	PRO	DET	_	_	koji	_	_	_	_	_	_	_	_	_	
243-6	32-34	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
243-7	35-39	uoči	PREP	ADP	_	_	uoči	_	_	_	_	_	_	_	_	_	
243-8	40-46	Foruma	N	NOUN	_	_	forum	_	_	_	*	Ovde 'Forum' označava konkretan javni skup/sastanak na kome se raspravlja; deca su učestvovala u glasanju uoči tog skupa.	http://llod.jerteh.rs/WSD/seENG3002749953n	1	gpt-5	ENG30-02749953-n	
243-9	47-58	učestvovala	V	VERB	_	_	učestvovati	_	_	_	*	Radi se o sudelovanju u zajedničkoj aktivnosti — globalnom glasanju. Deca su aktivno uzela učešće u toj kolektivnoj akciji.	http://llod.jerteh.rs/WSD/seENG3002450256v	3	gpt-5	ENG30-01082606-v;ENG30-02375131-v;ENG30-02450256-v	
243-10	59-60	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	_	
243-11	61-70	globalnom	A	ADJ	_	_	globalan	_	_	_	*	Reč označava glasanje sprovedeno širom više zemalja, tj. međunarodnog dometa, što odgovara značenju ‘koji uključuje ceo svet’ (ne ograničeno lokalno). Značenje ‘sveobuhvatno’ (ukupno) nije primarno u ovom kontekstu.	http://llod.jerteh.rs/WSD/seENG3001568684a	2	gpt-5	CV0175;ENG30-01568684-a	
243-12	71-79	glasanju	N	NOUN	_	_	glasanje	_	_	_	*	Ovde „glasanje” označava čin izbora koji se pravi glasanjem (globalni proces u kome su deca učestvovala), a ne političke izbore niti grupni stav kao rezultat glasanja.	http://llod.jerteh.rs/WSD/seENG3000183505n	3	gpt-5	ENG30-00181781-n;ENG30-00182213-n;ENG30-00183505-n	
243-13	80-88	održanom	A	ADJ	_	_	održan	_	_	_	*	Ovde 'održanom' znači da je glasanje sprovedeno/obavljeno u 24 zemlje učesnice. Ne odnosi se na trajanje bez prekida.	http://llod.jerteh.rs/WSD/seCV0215	2	gpt-5	CV0215;ENG30-00596639-a	
243-14	89-90	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	_	
243-15	91-94	sve	PRO	DET	_	_	sav	_	_	_	_	_	_	_	_	_	
243-16	95-97	24	NUM	NUM	_	_	24	_	_	_	_	_	_	_	_	_	
243-17	98-104	zemlje	N	NOUN	_	_	zemlja	_	_	_	*	Ovde 'zemlje' označava države kao geografska područja pod jurisdikcijom suverenih država, jer je glasanje održano 'u' svim tim zemljama. Fokus je na lokaciji gde je događaj sproveden, ne na političkoj organizaciji.	http://llod.jerteh.rs/WSD/seENG3008493064n	11	gpt-5	ENG30-08168978-n;ENG30-08493064-n;ENG30-08544813-n;ENG30-09270894-n;ENG30-09334396-n;ENG30-09335240-n;ENG30-09451517-n;ENG30-13250048-n;ENG30-14842992-n;ENG30-14844414-n;ENG30-14844693-n	
