#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Comment|Ainotes


#Text=U petoj sezoni program je održan u skladu sa novim konceptom: jedan mladi fudbaler iz svake zemlje izabran je kao njen predstavnik.
1-1	0-1	U	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
1-2	2-7	petoj	A	ADJ	_	_	peti	_	_	_	ENG30-02202712-a	1	ENG30-02202712-a	*	Ovde 'petoj' označava redni broj sezone, tj. onu koja dolazi posle četvrte i pre šeste.	
1-3	8-14	sezoni	N	NOUN	_	_	sezona	_	_	_	ENG30-15239579-n	1	ENG30-15239579-n	*	Odnosi se na petu sezonu programa, tj. na određeni period aktivnosti/emisija u okviru te emisije, što odgovara periodu označenom posebnim događajima ili aktivnostima u datom polju.	
1-4	15-22	program	N	NOUN	_	_	program	_	_	_	ENG30-06619428-n	7	ENG30-00551215-n;ENG30-03962685-n;ENG30-05898568-n;ENG30-05899087-n;ENG30-06568978-n;ENG30-06619428-n;ENG30-06676416-n	CV	Pominjanje 'pete sezone' i opisa formata ukazuje na televizijsku emisiju/program. U ovom kontekstu 'program' označava TV emisiju sa sezonskom strukturom.	
1-5	23-25	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
1-6	26-32	održan	V	VERB	_	_	održati	_	_	_	ENG30-01733477-v	7	ENG30-00118523-v;ENG30-00339934-v;ENG30-01733477-v;ENG30-02202928-v;ENG30-02280132-v;ENG30-02408965-v;ENG30-02679899-v	CV	U ovoj rečenici 'održan' znači da je program kao događaj bio organizovan i sproveden, i to u skladu sa novim konceptom.	
1-7	33-34	u	PREP	ADP	_	_	u	1[187]	u skladu sa[187]	AdpID[187]	LLM-0288[2000]	1[2000]	LLM-0288[2000]	*[451]	Izraz označava da je program realizovan u saglasnosti s novim konceptom. Dakle, radilo se prema tom konceptu, u harmoniji s njim.[2000]	
1-8	35-41	skladu	N	NOUN	_	_	sklad	1[187]	u skladu sa[187]	AdpID[187]	LLM-0288[2000]	1[2000]	LLM-0288[2000]	*[451]	Izraz označava da je program realizovan u saglasnosti s novim konceptom. Dakle, radilo se prema tom konceptu, u harmoniji s njim.[2000]	
1-9	42-44	sa	PREP	ADP	_	_	sa	1[187]	u skladu sa[187]	AdpID[187]	LLM-0288[2000]	1[2000]	LLM-0288[2000]	*[451]	Izraz označava da je program realizovan u saglasnosti s novim konceptom. Dakle, radilo se prema tom konceptu, u harmoniji s njim.[2000]	
1-10	45-50	novim	A	ADJ	_	_	nov	_	_	_	ENG30-02070491-a	6	ENG30-00418198-a;ENG30-00820975-a;ENG30-00821208-a;ENG30-01640850-a;ENG30-01687167-a;ENG30-02070491-a	*	Izraz 'novim konceptom' znači da je format promenjen u odnosu na ranije sezone; radi se o drugačijem konceptu nego pre. To odgovara značenju 'koji se razlikuje, koji nije isti kao prethodni'.	
1-11	51-60	konceptom	N	NOUN	_	_	koncept	_	_	_	CV004	4	CV004;ENG30-03179318-n;ENG30-05835747-n;ENG30-06390962-n	CV	Ovde 'koncept' označava osnovnu zamisao/plan (format) programa po kojem je sezona sprovedena. Konkretno, reč je o novom pravilu da svaku zemlju predstavlja jedan mladi fudbaler.	
1-12	60-61	:	PUNCT	PUNCT	_	_	:	_	_	_	_	_	_	_	_	
1-13	62-67	jedan	NUM	NUM	_	_	jedan	_	_	_	_	_	_	_	_	
1-14	68-73	mladi	A	ADJ	_	_	mlad	_	_	_	ENG30-01674464-a	2	ENG30-00818008-a;ENG30-01674464-a	*	U frazi 'mladi fudbaler' pridev označava osobu u ranoj životnoj fazi ili razvoju. Radi se o ljudima, ne o usevima, pa je primenjivo značenje za živa bića u ranom stadijumu života.	
1-15	74-82	fudbaler	N	NOUN	http://www.wikidata.org/entity/Q937857	ROLE	fudbaler	_	_	_	ENG30-10618342-n	2	ENG30-10101634-n;ENG30-10618342-n	*	U srpskom jeziku 'fudbaler' standardno označava igrača (asocijativnog) fudbala, osim ako se posebno ne navede 'američki'. Kontekst međunarodnog izbora po zemljama takođe upućuje na nogomet, ne na američki fudbal.	
1-16	83-85	iz	PREP	ADP	_	_	iz	_	_	_	_	_	_	_	_	
1-17	86-91	svake	PRO	DET	_	_	svaki	_	_	_	_	_	_	_	_	
1-18	92-98	zemlje	N	NOUN	_	_	zemlja	_	_	_	ENG30-08168978-n	11	ENG30-08168978-n;ENG30-08493064-n;ENG30-08544813-n;ENG30-09270894-n;ENG30-09334396-n;ENG30-09335240-n;ENG30-09451517-n;ENG30-13250048-n;ENG30-14842992-n;ENG30-14844414-n;ENG30-14844693-n	*	U kontekstu sportskog takmičenja biran je predstavnik iz svake zemlje, što upućuje na državu kao političku organizaciju pod jednom vladom. Ne odnosi se na teritoriju ili tlo, već na nacionalnu državu.	
1-19	99-106	izabran	V	VERB	_	_	izabrati	_	_	_	ENG30-00676450-v	5	ENG30-00676450-v;ENG30-00676864-v;ENG30-00679937-v;ENG30-00790308-v;ENG30-01078050-v	*	Radi se o selekciji jednog fudbalera kao predstavnika iz grupe kandidata u svakoj zemlji, što odgovara pažljivom odabiru iz skupa. Nije reč o odluci da se deluje niti o nasumičnom ili tehničkom izboru.	
1-20	107-109	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
1-21	110-113	kao	CONJ	CCONJ	_	_	kao	_	_	_	_	_	_	_	_	
1-22	114-118	njen	PRO	DET	_	_	njen	_	_	_	_	_	_	_	_	
